"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-04-05 09:00:00,-2.30 Wh,-5.68 Wh,-40.3 Wh,-5.30 Wh,-42.5 Wh
2026-04-05 10:00:00,-4.05 Wh,-5.64 Wh,-33.9 Wh,-4.88 Wh,-140 Wh
2026-04-05 11:00:00,-3.91 Wh,-5.75 Wh,-26.7 Wh,-4.42 Wh,-127 Wh
2026-04-05 12:00:00,-4.30 Wh,-5.58 Wh,-27.0 Wh,-4.46 Wh,-155 Wh
2026-04-05 13:00:00,-4.67 Wh,-5.58 Wh,-27.7 Wh,-4.48 Wh,-158 Wh
2026-04-05 14:00:00,-4.84 Wh,-5.62 Wh,-27.3 Wh,-4.43 Wh,-156 Wh
2026-04-05 15:00:00,-4.52 Wh,-5.50 Wh,-27.1 Wh,-4.41 Wh,-156 Wh
2026-04-05 16:00:00,-4.28 Wh,-5.49 Wh,-28.6 Wh,-4.39 Wh,-99.6 Wh
2026-04-05 17:00:00,-4.04 Wh,-5.60 Wh,-28.8 Wh,-4.37 Wh,-79.3 Wh
2026-04-05 18:00:00,-2.84 Wh,-5.63 Wh,-28.1 Wh,-4.35 Wh,-29.5 Wh
2026-04-05 19:00:00,-2.86 Wh,-5.44 Wh,-28.7 Wh,-4.35 Wh,-22.9 Wh
2026-04-05 20:00:00,-3.84 Wh,-5.54 Wh,-28.2 Wh,-4.30 Wh,-35.6 Wh
2026-04-05 21:00:00,-1.99 Wh,-5.60 Wh,-27.9 Wh,-4.29 Wh,-5.48 Wh
2026-04-05 22:00:00,-2.91 Wh,-5.60 Wh,-28.0 Wh,-4.29 Wh,-20.8 Wh
2026-04-05 23:00:00,-2.20 Wh,-5.60 Wh,-28.1 Wh,-4.29 Wh,-9.59 Wh
2026-04-06 00:00:00,-1.76 Wh,-5.60 Wh,-27.9 Wh,-4.26 Wh,0 Wh
2026-04-06 01:00:00,-1.78 Wh,-5.67 Wh,-27.8 Wh,-4.27 Wh,0 Wh
2026-04-06 02:00:00,-1.75 Wh,-5.55 Wh,-28.2 Wh,-4.29 Wh,0 Wh
2026-04-06 03:00:00,-1.80 Wh,-5.56 Wh,-28.1 Wh,-4.27 Wh,-568 mWh
2026-04-06 04:00:00,-3.72 Wh,-5.62 Wh,-27.9 Wh,-4.28 Wh,-26.4 Wh
2026-04-06 05:00:00,-3.63 Wh,-5.55 Wh,-28.2 Wh,-4.30 Wh,-26.1 Wh
2026-04-06 06:00:00,-3.76 Wh,-5.58 Wh,-28.4 Wh,-4.28 Wh,-25.6 Wh
2026-04-06 07:00:00,-2.43 Wh,-5.52 Wh,-28.1 Wh,-4.27 Wh,-8.44 Wh
2026-04-06 08:00:00,-1.78 Wh,-5.48 Wh,-27.9 Wh,-4.26 Wh,0 Wh
2026-04-06 09:00:00,-1.77 Wh,-5.55 Wh,-27.3 Wh,-4.29 Wh,0 Wh
2026-04-06 10:00:00,-1.91 Wh,-5.54 Wh,-26.9 Wh,-4.28 Wh,-2.01 Wh
2026-04-06 11:00:00,-2.79 Wh,-5.61 Wh,-26.9 Wh,-4.30 Wh,-14.2 Wh
2026-04-06 12:00:00,-1.76 Wh,-5.60 Wh,-27.1 Wh,-4.32 Wh,0 Wh
2026-04-06 13:00:00,-1.78 Wh,-5.60 Wh,-27.2 Wh,-4.36 Wh,0 Wh
2026-04-06 14:00:00,-3.18 Wh,-5.60 Wh,-27.5 Wh,-4.36 Wh,-20.7 Wh
2026-04-06 15:00:00,-3.53 Wh,-5.61 Wh,-27.3 Wh,-4.37 Wh,-26.1 Wh
2026-04-06 16:00:00,-3.72 Wh,-5.57 Wh,-26.6 Wh,-4.35 Wh,-25.1 Wh
2026-04-06 17:00:00,-3.79 Wh,-5.64 Wh,-26.2 Wh,-4.34 Wh,-20.4 Wh
2026-04-06 18:00:00,-2.75 Wh,-5.63 Wh,-26.8 Wh,-4.34 Wh,-9.33 Wh
2026-04-06 19:00:00,-1.76 Wh,-5.58 Wh,-27.1 Wh,-4.29 Wh,0 Wh
2026-04-06 20:00:00,-1.79 Wh,-5.56 Wh,-27.8 Wh,-4.28 Wh,-261 mWh
2026-04-06 21:00:00,-4.05 Wh,-5.58 Wh,-29.8 Wh,-4.31 Wh,-29.9 Wh
2026-04-06 22:00:00,-4.03 Wh,-5.58 Wh,-30.1 Wh,-4.29 Wh,-29.7 Wh
2026-04-06 23:00:00,-4.05 Wh,-5.62 Wh,-29.2 Wh,-4.28 Wh,-27.8 Wh
2026-04-07 00:00:00,-3.89 Wh,-5.61 Wh,-28.9 Wh,-4.30 Wh,-13.8 Wh
2026-04-07 01:00:00,-3.32 Wh,-5.75 Wh,-29.5 Wh,-4.30 Wh,-23.0 Wh
2026-04-07 02:00:00,-2.28 Wh,-5.74 Wh,-29.5 Wh,-4.28 Wh,-6.82 Wh
2026-04-07 03:00:00,-3.06 Wh,-5.74 Wh,-28.6 Wh,-4.29 Wh,-16.9 Wh
2026-04-07 04:00:00,-1.75 Wh,-5.89 Wh,-29.5 Wh,-4.30 Wh,0 Wh
2026-04-07 05:00:00,-1.79 Wh,-6.02 Wh,-30.0 Wh,-4.28 Wh,0 Wh
2026-04-07 06:00:00,-1.79 Wh,-6.12 Wh,-27.8 Wh,-4.27 Wh,0 Wh
2026-04-07 07:00:00,-1.85 Wh,-6.02 Wh,-27.3 Wh,-4.29 Wh,-359 mWh
2026-04-07 08:00:00,-3.71 Wh,-5.87 Wh,-27.7 Wh,-4.29 Wh,-10.3 Wh
2026-04-07 09:00:00,-1.80 Wh,-5.67 Wh,-27.4 Wh,-4.28 Wh,0 Wh
2026-04-07 10:00:00,-1.77 Wh,-5.59 Wh,-26.6 Wh,-4.28 Wh,0 Wh
2026-04-07 11:00:00,-1.78 Wh,-5.55 Wh,-26.4 Wh,-4.32 Wh,0 Wh
2026-04-07 12:00:00,-2.53 Wh,-5.49 Wh,-26.7 Wh,-4.37 Wh,-28.8 Wh
2026-04-07 13:00:00,-2.73 Wh,-5.51 Wh,-27.4 Wh,-4.36 Wh,-18.7 Wh
2026-04-07 14:00:00,-3.31 Wh,-5.54 Wh,-27.1 Wh,-4.37 Wh,-27.3 Wh
2026-04-07 15:00:00,-3.28 Wh,-5.55 Wh,-26.5 Wh,-4.38 Wh,-26.8 Wh
2026-04-07 16:00:00,-3.42 Wh,-5.55 Wh,-26.8 Wh,-4.40 Wh,-36.0 Wh
2026-04-07 17:00:00,-3.54 Wh,-5.66 Wh,-27.1 Wh,-4.38 Wh,-39.9 Wh
2026-04-07 18:00:00,-3.55 Wh,-5.53 Wh,-27.0 Wh,-4.35 Wh,-38.8 Wh
2026-04-07 19:00:00,-3.85 Wh,-5.53 Wh,-27.0 Wh,-4.33 Wh,-39.0 Wh
2026-04-07 20:00:00,-3.99 Wh,-5.52 Wh,-27.5 Wh,-4.33 Wh,-39.2 Wh
2026-04-07 21:00:00,-3.94 Wh,-5.46 Wh,-28.3 Wh,-4.32 Wh,-40.1 Wh
2026-04-07 22:00:00,-3.05 Wh,-5.52 Wh,-28.2 Wh,-4.30 Wh,-24.6 Wh
2026-04-07 23:00:00,-1.79 Wh,-5.44 Wh,-28.0 Wh,-4.28 Wh,0 Wh
2026-04-08 00:00:00,-1.80 Wh,-5.44 Wh,-29.6 Wh,-4.30 Wh,0 Wh
2026-04-08 01:00:00,-1.79 Wh,-5.40 Wh,-29.9 Wh,-4.28 Wh,0 Wh
2026-04-08 02:00:00,-1.78 Wh,-5.50 Wh,-29.2 Wh,-4.28 Wh,0 Wh
2026-04-08 03:00:00,-2.70 Wh,-5.43 Wh,-29.2 Wh,-4.30 Wh,-15.2 Wh
2026-04-08 04:00:00,-4.44 Wh,-5.49 Wh,-29.6 Wh,-4.29 Wh,-36.2 Wh
2026-04-08 05:00:00,-2.85 Wh,-5.41 Wh,-29.1 Wh,-4.30 Wh,-14.4 Wh
2026-04-08 06:00:00,-1.82 Wh,-5.45 Wh,-29.2 Wh,-4.28 Wh,-916 mWh
2026-04-08 07:00:00,-1.77 Wh,-5.49 Wh,-29.6 Wh,-4.31 Wh,0 Wh
2026-04-08 08:00:00,-1.78 Wh,-5.46 Wh,-28.3 Wh,-4.27 Wh,0 Wh
2026-04-08 09:00:00,-1.78 Wh,-5.45 Wh,-27.6 Wh,-4.30 Wh,0 Wh
2026-04-08 10:00:00,-1.76 Wh,-5.46 Wh,-26.7 Wh,-4.35 Wh,0 Wh
2026-04-08 11:00:00,-2.18 Wh,-5.45 Wh,-27.4 Wh,-4.39 Wh,-3.71 Wh
2026-04-08 12:00:00,-3.05 Wh,-5.44 Wh,-27.6 Wh,-4.40 Wh,-17.3 Wh
2026-04-08 13:00:00,-3.54 Wh,-5.41 Wh,-27.4 Wh,-4.42 Wh,-20.3 Wh
2026-04-08 14:00:00,-3.60 Wh,-5.39 Wh,-27.4 Wh,-4.44 Wh,-41.2 Wh
2026-04-08 15:00:00,-3.19 Wh,-5.47 Wh,-27.1 Wh,-4.40 Wh,-50.3 Wh
2026-04-08 16:00:00,-3.41 Wh,-5.44 Wh,-27.8 Wh,-4.36 Wh,-32.4 Wh
2026-04-08 17:00:00,-3.82 Wh,-5.41 Wh,-28.5 Wh,-4.36 Wh,-39.4 Wh
