"Time","Panel 1","Panel 2","Panel 3"
2026-04-05 09:00:00,10.6 Wh,9.17 Wh,0 Wh
2026-04-05 10:00:00,38.0 Wh,61.4 Wh,22.8 mWh
2026-04-05 11:00:00,47.1 Wh,78.0 Wh,0 Wh
2026-04-05 12:00:00,52.1 Wh,84.1 Wh,0 Wh
2026-04-05 13:00:00,52.6 Wh,85.8 Wh,0 Wh
2026-04-05 14:00:00,51.5 Wh,84.6 Wh,7.98 mWh
2026-04-05 15:00:00,46.4 Wh,76.2 Wh,0 Wh
2026-04-05 16:00:00,32.9 Wh,44.5 Wh,13.2 mWh
2026-04-05 17:00:00,20.5 Wh,31.6 Wh,0 Wh
2026-04-05 18:00:00,9.50 Wh,13.8 Wh,0 Wh
2026-04-05 19:00:00,1.40 Wh,2.41 Wh,0 Wh
2026-04-05 20:00:00,0 Wh,0 Wh,7.53 mWh
2026-04-05 21:00:00,0 Wh,0 Wh,0 Wh
2026-04-05 22:00:00,0 Wh,0 Wh,0 Wh
2026-04-05 23:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 00:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 01:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 02:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 03:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 04:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 05:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 06:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 07:00:00,2.10 Wh,2.96 Wh,0 Wh
2026-04-06 08:00:00,7.71 Wh,10.8 Wh,0 Wh
2026-04-06 09:00:00,12.5 Wh,19.5 Wh,0 Wh
2026-04-06 10:00:00,16.4 Wh,26.3 Wh,0 Wh
2026-04-06 11:00:00,24.1 Wh,40.6 Wh,7.65 mWh
2026-04-06 12:00:00,28.4 Wh,48.9 Wh,0 Wh
2026-04-06 13:00:00,30.3 Wh,59.7 Wh,0 Wh
2026-04-06 14:00:00,34.8 Wh,57.6 Wh,0 Wh
2026-04-06 15:00:00,22.8 Wh,31.1 Wh,0 Wh
2026-04-06 16:00:00,22.9 Wh,37.1 Wh,0 Wh
2026-04-06 17:00:00,15.1 Wh,25.1 Wh,0 Wh
2026-04-06 18:00:00,8.56 Wh,12.9 Wh,0 Wh
2026-04-06 19:00:00,103 mWh,593 mWh,0 Wh
2026-04-06 20:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 21:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 22:00:00,0 Wh,0 Wh,0 Wh
2026-04-06 23:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 00:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 01:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 02:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 03:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 04:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 05:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 06:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 07:00:00,3.07 Wh,3.80 Wh,0 Wh
2026-04-07 08:00:00,9.79 Wh,15.0 Wh,0 Wh
2026-04-07 09:00:00,20.7 Wh,32.0 Wh,0 Wh
2026-04-07 10:00:00,32.0 Wh,47.8 Wh,7.38 mWh
2026-04-07 11:00:00,48.5 Wh,76.7 Wh,0 Wh
2026-04-07 12:00:00,43.7 Wh,83.4 Wh,13.8 mWh
2026-04-07 13:00:00,45.8 Wh,75.3 Wh,10.5 mWh
2026-04-07 14:00:00,51.2 Wh,84.3 Wh,0 Wh
2026-04-07 15:00:00,42.6 Wh,73.6 Wh,0 Wh
2026-04-07 16:00:00,36.8 Wh,58.0 Wh,0 Wh
2026-04-07 17:00:00,23.9 Wh,29.9 Wh,0 Wh
2026-04-07 18:00:00,11.3 Wh,16.5 Wh,0 Wh
2026-04-07 19:00:00,1.02 Wh,2.18 Wh,0 Wh
2026-04-07 20:00:00,7.33 mWh,0 Wh,0 Wh
2026-04-07 21:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 22:00:00,0 Wh,0 Wh,0 Wh
2026-04-07 23:00:00,0 Wh,0 Wh,0 Wh
2026-04-08 00:00:00,0 Wh,0 Wh,0 Wh
2026-04-08 01:00:00,0 Wh,0 Wh,0 Wh
2026-04-08 02:00:00,0 Wh,0 Wh,0 Wh
