"Time","Motor"
2026-04-05 09:00:00,
2026-04-05 09:10:00,0 Wh
2026-04-05 09:20:00,0 Wh
2026-04-05 09:30:00,12.9 Wh
2026-04-05 09:40:00,41.0 Wh
2026-04-05 09:50:00,81.1 Wh
2026-04-05 10:00:00,130 Wh
2026-04-05 10:10:00,139 Wh
2026-04-05 10:20:00,112 Wh
2026-04-05 10:30:00,154 Wh
2026-04-05 10:40:00,149 Wh
2026-04-05 10:50:00,153 Wh
2026-04-05 11:00:00,155 Wh
2026-04-05 11:10:00,157 Wh
2026-04-05 11:20:00,79.1 Wh
2026-04-05 11:30:00,61.4 Wh
2026-04-05 11:40:00,151 Wh
2026-04-05 11:50:00,154 Wh
2026-04-05 12:00:00,153 Wh
2026-04-05 12:10:00,153 Wh
2026-04-05 12:20:00,153 Wh
2026-04-05 12:30:00,154 Wh
2026-04-05 12:40:00,158 Wh
2026-04-05 12:50:00,157 Wh
2026-04-05 13:00:00,158 Wh
2026-04-05 13:10:00,158 Wh
2026-04-05 13:20:00,159 Wh
2026-04-05 13:30:00,160 Wh
2026-04-05 13:40:00,157 Wh
2026-04-05 13:50:00,155 Wh
2026-04-05 14:00:00,158 Wh
2026-04-05 14:10:00,156 Wh
2026-04-05 14:20:00,154 Wh
2026-04-05 14:30:00,157 Wh
2026-04-05 14:40:00,156 Wh
2026-04-05 14:50:00,156 Wh
2026-04-05 15:00:00,159 Wh
2026-04-05 15:10:00,158 Wh
2026-04-05 15:20:00,156 Wh
2026-04-05 15:30:00,156 Wh
2026-04-05 15:40:00,157 Wh
2026-04-05 15:50:00,149 Wh
2026-04-05 16:00:00,110 Wh
2026-04-05 16:10:00,113 Wh
2026-04-05 16:20:00,97.2 Wh
2026-04-05 16:30:00,92.4 Wh
2026-04-05 16:40:00,93.1 Wh
2026-04-05 16:50:00,92.3 Wh
2026-04-05 17:00:00,92.3 Wh
2026-04-05 17:10:00,90.9 Wh
2026-04-05 17:20:00,90.6 Wh
2026-04-05 17:30:00,84.6 Wh
2026-04-05 17:40:00,49.4 Wh
2026-04-05 17:50:00,49.1 Wh
2026-04-05 18:00:00,48.2 Wh
2026-04-05 18:10:00,44.0 Wh
2026-04-05 18:20:00,6.18 Wh
2026-04-05 18:30:00,0 Wh
2026-04-05 18:40:00,30.3 Wh
2026-04-05 18:50:00,48.5 Wh
2026-04-05 19:00:00,49.3 Wh
2026-04-05 19:10:00,49.7 Wh
2026-04-05 19:20:00,9.32 Wh
2026-04-05 19:30:00,0 Wh
2026-04-05 19:40:00,1.08 Wh
2026-04-05 19:50:00,28.8 Wh
2026-04-05 20:00:00,28.9 Wh
2026-04-05 20:10:00,29.1 Wh
2026-04-05 20:20:00,35.4 Wh
2026-04-05 20:30:00,40.2 Wh
