"Time","Min","Average","Max"
2026-04-05 09:00:00,1.05 kn,1.46 kn,2.27 kn
2026-04-05 10:00:00,1.63 kn,2.84 kn,6.08 kn
2026-04-05 11:00:00,3.91 kn,5.47 kn,6.76 kn
2026-04-05 12:00:00,3.87 kn,5.00 kn,5.95 kn
2026-04-05 13:00:00,4.67 kn,5.74 kn,7.74 kn
2026-04-05 14:00:00,7.21 kn,7.80 kn,8.34 kn
2026-04-05 15:00:00,6.08 kn,6.81 kn,7.54 kn
2026-04-05 16:00:00,7.48 kn,9.45 kn,10.7 kn
2026-04-05 17:00:00,8.30 kn,9.09 kn,9.93 kn
2026-04-05 18:00:00,9.62 kn,11.1 kn,12.7 kn
2026-04-05 19:00:00,8.53 kn,9.87 kn,11.0 kn
2026-04-05 20:00:00,8.24 kn,9.19 kn,10.1 kn
2026-04-05 21:00:00,7.25 kn,8.52 kn,9.70 kn
2026-04-05 22:00:00,7.17 kn,7.51 kn,8.44 kn
2026-04-05 23:00:00,7.11 kn,7.95 kn,9.04 kn
2026-04-06 00:00:00,7.72 kn,8.90 kn,10.4 kn
2026-04-06 01:00:00,8.36 kn,9.41 kn,10.2 kn
2026-04-06 02:00:00,8.83 kn,10.3 kn,11.9 kn
2026-04-06 03:00:00,8.73 kn,9.64 kn,10.7 kn
2026-04-06 04:00:00,7.99 kn,9.22 kn,10.3 kn
2026-04-06 05:00:00,8.09 kn,8.57 kn,9.33 kn
2026-04-06 06:00:00,7.66 kn,8.49 kn,9.08 kn
2026-04-06 07:00:00,7.19 kn,7.91 kn,8.88 kn
2026-04-06 08:00:00,7.64 kn,8.20 kn,8.88 kn
2026-04-06 09:00:00,4.45 kn,7.27 kn,9.86 kn
2026-04-06 10:00:00,5.75 kn,6.48 kn,7.58 kn
2026-04-06 11:00:00,5.27 kn,6.46 kn,8.07 kn
2026-04-06 12:00:00,6.22 kn,7.54 kn,9.54 kn
2026-04-06 13:00:00,6.57 kn,7.73 kn,8.88 kn
2026-04-06 14:00:00,6.43 kn,7.37 kn,8.61 kn
2026-04-06 15:00:00,7.85 kn,8.75 kn,9.66 kn
2026-04-06 16:00:00,8.67 kn,9.45 kn,9.95 kn
2026-04-06 17:00:00,7.74 kn,8.78 kn,9.60 kn
2026-04-06 18:00:00,8.79 kn,10.3 kn,11.7 kn
2026-04-06 19:00:00,9.78 kn,11.2 kn,12.5 kn
2026-04-06 20:00:00,11.0 kn,12.1 kn,12.9 kn
2026-04-06 21:00:00,10.2 kn,11.4 kn,12.5 kn
2026-04-06 22:00:00,10.2 kn,11.6 kn,13.3 kn
2026-04-06 23:00:00,8.88 kn,10.6 kn,11.9 kn
