"Time","POB"
2026-02-13 07:00:00,29.1 V
2026-02-13 10:00:00,28.9 V
2026-02-13 13:00:00,28.6 V
2026-02-13 16:00:00,28.5 V
2026-02-13 19:00:00,28.5 V
2026-02-13 22:00:00,28.5 V
2026-02-14 01:00:00,28.5 V
2026-02-14 04:00:00,28.4 V
2026-02-14 07:00:00,28.4 V
2026-02-14 10:00:00,28.4 V
2026-02-14 13:00:00,28.4 V
2026-02-14 16:00:00,28.4 V
2026-02-14 19:00:00,28.4 V
2026-02-14 22:00:00,28.3 V
2026-02-15 01:00:00,28.3 V
2026-02-15 04:00:00,28.2 V
2026-02-15 07:00:00,28.2 V
2026-02-15 10:00:00,28.0 V
2026-02-15 13:00:00,27.9 V
2026-02-15 16:00:00,27.8 V
2026-02-15 19:00:00,27.5 V
2026-02-15 22:00:00,27.4 V
2026-02-16 01:00:00,27.3 V
2026-02-16 04:00:00,27.3 V
2026-02-16 07:00:00,27.2 V
2026-02-16 10:00:00,27.1 V
2026-02-16 13:00:00,27.1 V
2026-02-16 16:00:00,27.1 V
2026-02-16 19:00:00,26.9 V
2026-02-16 22:00:00,26.8 V
2026-02-17 01:00:00,26.7 V
2026-02-17 04:00:00,26.6 V
2026-02-17 07:00:00,26.5 V
2026-02-17 10:00:00,26.4 V
2026-02-17 13:00:00,26.3 V
2026-02-17 16:00:00,26.2 V
2026-02-17 19:00:00,26.1 V
2026-02-17 22:00:00,26.1 V
2026-02-18 01:00:00,26.0 V
2026-02-18 04:00:00,25.9 V
2026-02-18 07:00:00,25.9 V
2026-02-18 10:00:00,25.8 V
2026-02-18 13:00:00,25.9 V
2026-02-18 16:00:00,25.8 V
2026-02-18 19:00:00,25.7 V
2026-02-18 22:00:00,25.5 V
2026-02-19 01:00:00,25.3 V
2026-02-19 04:00:00,25.2 V
2026-02-19 07:00:00,25.0 V
2026-02-19 10:00:00,24.9 V
