"Time","Motor"
2026-02-13 08:10:00,0 Wh
2026-02-13 08:20:00,0 Wh
2026-02-13 08:30:00,0 Wh
2026-02-13 08:40:00,56.5 Wh
2026-02-13 08:50:00,64.3 Wh
2026-02-13 09:00:00,75.2 Wh
2026-02-13 09:10:00,146 Wh
2026-02-13 09:20:00,147 Wh
2026-02-13 09:30:00,121 Wh
2026-02-13 09:40:00,91.3 Wh
2026-02-13 09:50:00,92.8 Wh
2026-02-13 10:00:00,92.8 Wh
2026-02-13 10:10:00,92.9 Wh
2026-02-13 10:20:00,92.8 Wh
2026-02-13 10:30:00,92.3 Wh
2026-02-13 10:40:00,93.5 Wh
2026-02-13 10:50:00,93.5 Wh
2026-02-13 11:00:00,93.0 Wh
2026-02-13 11:10:00,93.2 Wh
2026-02-13 11:20:00,93.0 Wh
2026-02-13 11:30:00,92.4 Wh
2026-02-13 11:40:00,92.4 Wh
2026-02-13 11:50:00,92.5 Wh
2026-02-13 12:00:00,91.9 Wh
2026-02-13 12:10:00,92.3 Wh
2026-02-13 12:20:00,92.1 Wh
2026-02-13 12:30:00,91.7 Wh
2026-02-13 12:40:00,92.1 Wh
2026-02-13 12:50:00,119 Wh
2026-02-13 13:00:00,138 Wh
2026-02-13 13:10:00,141 Wh
2026-02-13 13:20:00,140 Wh
2026-02-13 13:30:00,138 Wh
2026-02-13 13:40:00,137 Wh
2026-02-13 13:50:00,136 Wh
2026-02-13 14:00:00,137 Wh
2026-02-13 14:10:00,137 Wh
2026-02-13 14:20:00,138 Wh
2026-02-13 14:30:00,138 Wh
2026-02-13 14:40:00,138 Wh
2026-02-13 14:50:00,138 Wh
2026-02-13 15:00:00,137 Wh
2026-02-13 15:10:00,139 Wh
2026-02-13 15:20:00,140 Wh
2026-02-13 15:30:00,140 Wh
2026-02-13 15:40:00,140 Wh
2026-02-13 15:50:00,139 Wh
2026-02-13 16:00:00,140 Wh
2026-02-13 16:10:00,141 Wh
2026-02-13 16:20:00,140 Wh
2026-02-13 16:30:00,140 Wh
2026-02-13 16:40:00,139 Wh
2026-02-13 16:50:00,138 Wh
2026-02-13 17:00:00,137 Wh
2026-02-13 17:10:00,138 Wh
2026-02-13 17:20:00,137 Wh
2026-02-13 17:30:00,139 Wh
