"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-26 11:00:00,-4.12 Wh,-5.62 Wh,-40.7 Wh,-5.06 Wh,-80.5 Wh
2026-02-26 12:00:00,-4.50 Wh,-5.55 Wh,-28.2 Wh,-4.18 Wh,-86.5 Wh
2026-02-26 13:00:00,-4.85 Wh,-5.57 Wh,-27.0 Wh,-4.14 Wh,-107 Wh
2026-02-26 14:00:00,-4.80 Wh,-5.46 Wh,-27.0 Wh,-4.10 Wh,-118 Wh
2026-02-26 15:00:00,-4.93 Wh,-5.48 Wh,-26.7 Wh,-4.10 Wh,-119 Wh
2026-02-26 16:00:00,-5.04 Wh,-5.47 Wh,-26.8 Wh,-4.05 Wh,-120 Wh
2026-02-26 17:00:00,-4.85 Wh,-5.45 Wh,-26.8 Wh,-4.04 Wh,-121 Wh
2026-02-26 18:00:00,-4.83 Wh,-5.55 Wh,-27.7 Wh,-4.02 Wh,-105 Wh
2026-02-26 19:00:00,-4.42 Wh,-5.51 Wh,-27.9 Wh,-4.03 Wh,-43.4 Wh
2026-02-26 20:00:00,-4.31 Wh,-5.45 Wh,-27.8 Wh,-4.01 Wh,-46.0 Wh
2026-02-26 21:00:00,-2.70 Wh,-5.44 Wh,-28.7 Wh,-3.99 Wh,-16.8 Wh
2026-02-26 22:00:00,-1.76 Wh,-5.43 Wh,-27.9 Wh,-3.97 Wh,0 Wh
2026-02-26 23:00:00,-1.76 Wh,-5.34 Wh,-28.2 Wh,-4.00 Wh,0 Wh
2026-02-27 00:00:00,-1.75 Wh,-5.32 Wh,-28.3 Wh,-3.97 Wh,0 Wh
2026-02-27 01:00:00,-2.14 Wh,-5.46 Wh,-28.2 Wh,-3.97 Wh,-4.04 Wh
2026-02-27 02:00:00,-3.68 Wh,-5.46 Wh,-27.8 Wh,-3.98 Wh,-28.4 Wh
2026-02-27 03:00:00,-2.12 Wh,-5.46 Wh,-27.9 Wh,-4.00 Wh,-5.15 Wh
2026-02-27 04:00:00,-1.77 Wh,-5.38 Wh,-28.3 Wh,-3.97 Wh,0 Wh
2026-02-27 05:00:00,-1.78 Wh,-5.45 Wh,-28.1 Wh,-3.96 Wh,0 Wh
2026-02-27 06:00:00,-1.76 Wh,-5.39 Wh,-27.8 Wh,-3.98 Wh,0 Wh
2026-02-27 07:00:00,-1.77 Wh,-5.32 Wh,-26.1 Wh,-3.98 Wh,0 Wh
2026-02-27 08:00:00,-1.76 Wh,-5.33 Wh,-26.2 Wh,-3.98 Wh,0 Wh
2026-02-27 09:00:00,-1.77 Wh,-5.28 Wh,-26.2 Wh,-4.00 Wh,0 Wh
2026-02-27 10:00:00,-1.77 Wh,-5.22 Wh,-26.4 Wh,-4.03 Wh,0 Wh
2026-02-27 11:00:00,-2.45 Wh,-5.23 Wh,-26.9 Wh,-4.08 Wh,-7.59 Wh
2026-02-27 12:00:00,-3.43 Wh,-5.38 Wh,-26.4 Wh,-4.10 Wh,-17.1 Wh
2026-02-27 13:00:00,-3.22 Wh,-5.43 Wh,-26.5 Wh,-4.07 Wh,-13.6 Wh
2026-02-27 14:00:00,-1.76 Wh,-5.39 Wh,-26.3 Wh,-4.08 Wh,0 Wh
2026-02-27 15:00:00,-2.79 Wh,-5.34 Wh,-26.2 Wh,-4.05 Wh,-11.7 Wh
2026-02-27 16:00:00,-3.86 Wh,-5.44 Wh,-26.5 Wh,-4.04 Wh,-25.1 Wh
2026-02-27 17:00:00,-4.41 Wh,-5.12 Wh,-26.9 Wh,-4.01 Wh,-25.5 Wh
2026-02-27 18:00:00,-3.82 Wh,-5.37 Wh,-26.7 Wh,-4.03 Wh,-25.8 Wh
2026-02-27 19:00:00,-3.46 Wh,-5.33 Wh,-27.8 Wh,-4.01 Wh,-20.2 Wh
2026-02-27 20:00:00,-3.88 Wh,-5.36 Wh,-28.0 Wh,-3.99 Wh,-30.3 Wh
2026-02-27 21:00:00,-3.59 Wh,-5.39 Wh,-27.9 Wh,-4.00 Wh,-30.1 Wh
2026-02-27 22:00:00,-3.47 Wh,-5.32 Wh,-27.8 Wh,-4.02 Wh,-28.6 Wh
2026-02-27 23:00:00,-1.87 Wh,-5.23 Wh,-27.9 Wh,-3.99 Wh,-1.48 Wh
2026-02-28 00:00:00,-3.06 Wh,-5.33 Wh,-28.1 Wh,-3.99 Wh,-22.1 Wh
2026-02-28 01:00:00,-2.55 Wh,-5.26 Wh,-27.5 Wh,-3.99 Wh,-7.61 Wh
2026-02-28 02:00:00,-3.28 Wh,-5.33 Wh,-27.7 Wh,-4.02 Wh,-9.88 Wh
2026-02-28 03:00:00,-2.02 Wh,-5.25 Wh,-27.7 Wh,-3.99 Wh,-1.71 Wh
2026-02-28 04:00:00,-1.78 Wh,-5.26 Wh,-28.3 Wh,-3.99 Wh,0 Wh
2026-02-28 05:00:00,-2.88 Wh,-5.31 Wh,-27.9 Wh,-3.99 Wh,-7.26 Wh
2026-02-28 06:00:00,-2.66 Wh,-5.22 Wh,-28.2 Wh,-4.02 Wh,-5.81 Wh
2026-02-28 07:00:00,-2.11 Wh,-5.21 Wh,-28.7 Wh,-3.98 Wh,-1.84 Wh
2026-02-28 08:00:00,-3.47 Wh,-5.23 Wh,-29.0 Wh,-4.00 Wh,-9.22 Wh
2026-02-28 09:00:00,-1.89 Wh,-5.24 Wh,-29.0 Wh,-4.03 Wh,-720 mWh
2026-02-28 10:00:00,-2.24 Wh,-5.22 Wh,-28.7 Wh,-4.05 Wh,-10.1 Wh
2026-02-28 11:00:00,-4.31 Wh,-5.28 Wh,-28.7 Wh,-4.06 Wh,-37.3 Wh
2026-02-28 12:00:00,-4.27 Wh,-5.30 Wh,-28.8 Wh,-4.10 Wh,-37.9 Wh
2026-02-28 13:00:00,-2.18 Wh,-5.14 Wh,-28.8 Wh,-4.09 Wh,-4.14 Wh
2026-02-28 14:00:00,-3.30 Wh,-5.24 Wh,-28.3 Wh,-4.13 Wh,-19.3 Wh
2026-02-28 15:00:00,-3.32 Wh,-5.31 Wh,-28.4 Wh,-4.15 Wh,-25.3 Wh
2026-02-28 16:00:00,-2.15 Wh,-5.30 Wh,-29.0 Wh,-4.11 Wh,-9.88 Wh
2026-02-28 17:00:00,-3.36 Wh,-5.26 Wh,-26.6 Wh,-4.07 Wh,-27.8 Wh
2026-02-28 18:00:00,-4.00 Wh,-5.32 Wh,-27.0 Wh,-4.06 Wh,-34.5 Wh
2026-02-28 19:00:00,-3.32 Wh,-5.24 Wh,-28.0 Wh,-4.03 Wh,-24.8 Wh
2026-02-28 20:00:00,-1.76 Wh,-5.25 Wh,-28.6 Wh,-4.00 Wh,0 Wh
2026-02-28 21:00:00,-1.76 Wh,-5.30 Wh,-28.0 Wh,-3.98 Wh,0 Wh
2026-02-28 22:00:00,-1.78 Wh,-5.27 Wh,-27.8 Wh,-4.01 Wh,0 Wh
2026-02-28 23:00:00,-1.79 Wh,-5.26 Wh,-28.1 Wh,-3.98 Wh,0 Wh
2026-03-01 00:00:00,-1.76 Wh,-5.25 Wh,-28.5 Wh,-3.99 Wh,0 Wh
2026-03-01 01:00:00,-1.84 Wh,-5.27 Wh,-28.1 Wh,-3.99 Wh,-502 mWh
2026-03-01 02:00:00,-1.78 Wh,-5.23 Wh,-28.0 Wh,-4.01 Wh,0 Wh
2026-03-01 03:00:00,-1.78 Wh,-5.25 Wh,-28.3 Wh,-3.99 Wh,0 Wh
2026-03-01 04:00:00,-3.09 Wh,-5.23 Wh,-28.2 Wh,-3.99 Wh,-22.9 Wh
2026-03-01 05:00:00,-2.40 Wh,-5.32 Wh,-27.9 Wh,-4.00 Wh,-9.42 Wh
2026-03-01 06:00:00,-2.48 Wh,-5.28 Wh,-27.6 Wh,-4.00 Wh,-8.88 Wh
