"Time","Panel 1","Panel 2","Panel 3"
2026-02-26 11:00:00,40.6 Wh,30.5 Wh,8.16 mWh
2026-02-26 12:00:00,42.3 Wh,56.6 Wh,0 Wh
2026-02-26 13:00:00,40.4 Wh,64.7 Wh,7.55 mWh
2026-02-26 14:00:00,36.0 Wh,58.0 Wh,5.78 mWh
2026-02-26 15:00:00,22.9 Wh,36.4 Wh,9.41 mWh
2026-02-26 16:00:00,15.4 Wh,23.7 Wh,0 Wh
2026-02-26 17:00:00,3.97 Wh,6.12 Wh,0 Wh
2026-02-26 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-26 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-26 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-26 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-26 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-26 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 07:00:00,6.20 Wh,9.25 Wh,0 Wh
2026-02-27 08:00:00,18.4 Wh,28.3 Wh,0 Wh
2026-02-27 09:00:00,29.5 Wh,46.3 Wh,0 Wh
2026-02-27 10:00:00,36.8 Wh,59.1 Wh,0 Wh
2026-02-27 11:00:00,32.5 Wh,60.0 Wh,0 Wh
2026-02-27 12:00:00,9.70 Wh,61.9 Wh,0 Wh
2026-02-27 13:00:00,19.2 Wh,46.1 Wh,0 Wh
2026-02-27 14:00:00,23.5 Wh,37.7 Wh,0 Wh
2026-02-27 15:00:00,14.8 Wh,23.2 Wh,0 Wh
2026-02-27 16:00:00,8.88 Wh,13.7 Wh,0 Wh
2026-02-27 17:00:00,6.20 Wh,9.01 Wh,0 Wh
2026-02-27 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-27 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 06:00:00,33.5 mWh,284 mWh,0 Wh
2026-02-28 07:00:00,7.75 Wh,12.3 Wh,0 Wh
2026-02-28 08:00:00,9.65 Wh,28.4 Wh,0 Wh
2026-02-28 09:00:00,28.4 Wh,45.8 Wh,0 Wh
2026-02-28 10:00:00,29.1 Wh,52.5 Wh,0 Wh
2026-02-28 11:00:00,31.4 Wh,59.9 Wh,0 Wh
2026-02-28 12:00:00,40.0 Wh,64.4 Wh,0 Wh
2026-02-28 13:00:00,30.6 Wh,58.4 Wh,0 Wh
2026-02-28 14:00:00,23.2 Wh,55.5 Wh,0 Wh
2026-02-28 15:00:00,17.3 Wh,39.2 Wh,0 Wh
2026-02-28 16:00:00,10.6 Wh,15.7 Wh,0 Wh
2026-02-28 17:00:00,3.03 Wh,4.48 Wh,0 Wh
2026-02-28 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-28 19:00:00,0 Wh,0 Wh,0 Wh
