"Time","Motor"
2026-02-26 11:00:00,74.2 Wh
2026-02-26 11:10:00,78.2 Wh
2026-02-26 11:20:00,81.3 Wh
2026-02-26 11:30:00,81.4 Wh
2026-02-26 11:40:00,82.0 Wh
2026-02-26 11:50:00,83.2 Wh
2026-02-26 12:00:00,83.2 Wh
2026-02-26 12:10:00,85.1 Wh
2026-02-26 12:20:00,87.2 Wh
2026-02-26 12:30:00,87.9 Wh
2026-02-26 12:40:00,87.6 Wh
2026-02-26 12:50:00,88.0 Wh
2026-02-26 13:00:00,89.0 Wh
2026-02-26 13:10:00,89.6 Wh
2026-02-26 13:20:00,114 Wh
2026-02-26 13:30:00,117 Wh
2026-02-26 13:40:00,116 Wh
2026-02-26 13:50:00,117 Wh
2026-02-26 14:00:00,117 Wh
2026-02-26 14:10:00,118 Wh
2026-02-26 14:20:00,120 Wh
2026-02-26 14:30:00,120 Wh
2026-02-26 14:40:00,118 Wh
2026-02-26 14:50:00,118 Wh
2026-02-26 15:00:00,119 Wh
2026-02-26 15:10:00,120 Wh
2026-02-26 15:20:00,120 Wh
2026-02-26 15:30:00,118 Wh
2026-02-26 15:40:00,119 Wh
2026-02-26 15:50:00,119 Wh
2026-02-26 16:00:00,117 Wh
2026-02-26 16:10:00,119 Wh
2026-02-26 16:20:00,119 Wh
2026-02-26 16:30:00,120 Wh
2026-02-26 16:40:00,120 Wh
2026-02-26 16:50:00,121 Wh
2026-02-26 17:00:00,120 Wh
2026-02-26 17:10:00,120 Wh
2026-02-26 17:20:00,120 Wh
2026-02-26 17:30:00,120 Wh
2026-02-26 17:40:00,122 Wh
2026-02-26 17:50:00,122 Wh
2026-02-26 18:00:00,121 Wh
2026-02-26 18:10:00,122 Wh
2026-02-26 18:20:00,112 Wh
2026-02-26 18:30:00,43.7 Wh
2026-02-26 18:40:00,25.7 Wh
2026-02-26 18:50:00,34.8 Wh
2026-02-26 19:00:00,33.8 Wh
2026-02-26 19:10:00,33.7 Wh
2026-02-26 19:20:00,34.2 Wh
2026-02-26 19:30:00,34.1 Wh
2026-02-26 19:40:00,46.8 Wh
2026-02-26 19:50:00,47.1 Wh
2026-02-26 20:00:00,46.4 Wh
2026-02-26 20:10:00,46.7 Wh
2026-02-26 20:20:00,45.9 Wh
2026-02-26 20:30:00,46.0 Wh
2026-02-26 20:40:00,45.7 Wh
2026-02-26 20:50:00,45.4 Wh
2026-02-26 21:00:00,45.1 Wh
2026-02-26 21:10:00,45.3 Wh
2026-02-26 21:20:00,43.2 Wh
2026-02-26 21:30:00,8.54 Wh
2026-02-26 21:40:00,0 Wh
2026-02-26 21:50:00,0 Wh
2026-02-26 22:00:00,0 Wh
2026-02-26 22:10:00,0 Wh
2026-02-26 22:20:00,0 Wh
2026-02-26 22:30:00,0 Wh
2026-02-26 22:40:00,0 Wh
2026-02-26 22:50:00,0 Wh
2026-02-26 23:00:00,0 Wh
2026-02-26 23:10:00,0 Wh
2026-02-26 23:20:00,0 Wh
2026-02-26 23:30:00,0 Wh
2026-02-26 23:40:00,0 Wh
2026-02-26 23:50:00,0 Wh
2026-02-27 00:00:00,0 Wh
2026-02-27 00:10:00,0 Wh
2026-02-27 00:20:00,0 Wh
2026-02-27 00:30:00,0 Wh
2026-02-27 00:40:00,0 Wh
2026-02-27 00:50:00,0 Wh
2026-02-27 01:00:00,0 Wh
2026-02-27 01:10:00,0 Wh
2026-02-27 01:20:00,0 Wh
2026-02-27 01:30:00,0 Wh
2026-02-27 01:40:00,1.70 Wh
2026-02-27 01:50:00,22.4 Wh
2026-02-27 02:00:00,28.4 Wh
2026-02-27 02:10:00,28.5 Wh
2026-02-27 02:20:00,28.0 Wh
2026-02-27 02:30:00,28.2 Wh
2026-02-27 02:40:00,28.6 Wh
2026-02-27 02:50:00,28.4 Wh
2026-02-27 03:00:00,27.8 Wh
2026-02-27 03:10:00,3.67 Wh
2026-02-27 03:20:00,0 Wh
2026-02-27 03:30:00,0 Wh
2026-02-27 03:40:00,0 Wh
2026-02-27 03:50:00,0 Wh
2026-02-27 04:00:00,0 Wh
2026-02-27 04:10:00,0 Wh
2026-02-27 04:20:00,0 Wh
2026-02-27 04:30:00,0 Wh
2026-02-27 04:40:00,0 Wh
2026-02-27 04:50:00,0 Wh
2026-02-27 05:00:00,0 Wh
2026-02-27 05:10:00,0 Wh
