"Time","Min","Average","Max"
2026-02-26 11:00:00,2.97 kn,4.42 kn,6.38 kn
2026-02-26 12:00:00,4.47 kn,5.64 kn,7.35 kn
2026-02-26 13:00:00,3.21 kn,6.98 kn,11.0 kn
2026-02-26 14:00:00,8.88 kn,11.5 kn,13.2 kn
2026-02-26 15:00:00,10.4 kn,11.5 kn,12.1 kn
2026-02-26 16:00:00,10.2 kn,11.2 kn,12.5 kn
2026-02-26 17:00:00,9.45 kn,10.0 kn,11.0 kn
2026-02-26 18:00:00,9.49 kn,9.90 kn,12.7 kn
2026-02-26 19:00:00,13.2 kn,15.1 kn,16.0 kn
2026-02-26 20:00:00,11.0 kn,13.2 kn,15.7 kn
2026-02-26 21:00:00,9.37 kn,9.88 kn,10.8 kn
2026-02-26 22:00:00,6.59 kn,9.50 kn,12.1 kn
2026-02-26 23:00:00,5.89 kn,6.30 kn,7.13 kn
2026-02-27 00:00:00,4.78 kn,6.16 kn,7.72 kn
2026-02-27 01:00:00,4.68 kn,7.04 kn,12.1 kn
2026-02-27 02:00:00,9.00 kn,10.3 kn,12.3 kn
2026-02-27 03:00:00,6.90 kn,8.69 kn,9.52 kn
2026-02-27 04:00:00,7.99 kn,8.49 kn,9.43 kn
2026-02-27 05:00:00,7.17 kn,8.49 kn,12.2 kn
2026-02-27 06:00:00,7.79 kn,9.95 kn,12.1 kn
2026-02-27 07:00:00,4.98 kn,7.21 kn,8.84 kn
2026-02-27 08:00:00,4.30 kn,6.19 kn,8.22 kn
2026-02-27 09:00:00,6.57 kn,8.20 kn,9.31 kn
2026-02-27 10:00:00,4.82 kn,5.51 kn,6.47 kn
2026-02-27 11:00:00,5.15 kn,5.71 kn,6.94 kn
2026-02-27 12:00:00,6.47 kn,9.71 kn,11.4 kn
2026-02-27 13:00:00,11.5 kn,12.6 kn,13.6 kn
2026-02-27 14:00:00,11.2 kn,12.8 kn,13.9 kn
2026-02-27 15:00:00,10.5 kn,10.9 kn,11.2 kn
2026-02-27 16:00:00,7.27 kn,8.55 kn,10.5 kn
2026-02-27 17:00:00,8.34 kn,9.42 kn,12.0 kn
2026-02-27 18:00:00,9.84 kn,11.2 kn,12.7 kn
2026-02-27 19:00:00,9.91 kn,11.6 kn,13.3 kn
2026-02-27 20:00:00,6.01 kn,8.11 kn,9.84 kn
2026-02-27 21:00:00,5.25 kn,8.03 kn,10.5 kn
2026-02-27 22:00:00,3.46 kn,5.09 kn,7.08 kn
2026-02-27 23:00:00,4.51 kn,7.06 kn,8.67 kn
2026-02-28 00:00:00,1.26 kn,4.22 kn,6.01 kn
2026-02-28 01:00:00,5.46 kn,6.99 kn,7.99 kn
2026-02-28 02:00:00,6.65 kn,7.51 kn,8.26 kn
2026-02-28 03:00:00,6.71 kn,7.94 kn,8.69 kn
2026-02-28 04:00:00,7.48 kn,8.47 kn,9.19 kn
2026-02-28 05:00:00,3.05 kn,5.14 kn,7.79 kn
2026-02-28 06:00:00,1.05 kn,4.34 kn,8.61 kn
2026-02-28 07:00:00,0.525 kn,2.93 kn,5.44 kn
2026-02-28 08:00:00,1.01 kn,2.91 kn,6.45 kn
2026-02-28 09:00:00,4.45 kn,6.53 kn,13.4 kn
2026-02-28 10:00:00,6.16 kn,9.38 kn,13.4 kn
2026-02-28 11:00:00,8.79 kn,10.9 kn,12.5 kn
2026-02-28 12:00:00,5.27 kn,7.02 kn,8.96 kn
2026-02-28 13:00:00,1.07 kn,2.96 kn,5.13 kn
2026-02-28 14:00:00,1.03 kn,2.38 kn,4.80 kn
2026-02-28 15:00:00,2.35 kn,4.01 kn,5.42 kn
2026-02-28 16:00:00,3.87 kn,6.30 kn,9.45 kn
2026-02-28 17:00:00,9.12 kn,9.75 kn,10.3 kn
2026-02-28 18:00:00,6.63 kn,8.52 kn,9.84 kn
2026-02-28 19:00:00,3.30 kn,5.73 kn,7.64 kn
2026-02-28 20:00:00,0.661 kn,2.68 kn,4.57 kn
