"Time","POB"
2026-01-21 10:00:00,29.0 V
2026-01-21 16:00:00,28.7 V
2026-01-21 22:00:00,28.6 V
2026-01-22 04:00:00,28.5 V
2026-01-22 10:00:00,28.6 V
2026-01-22 16:00:00,28.5 V
2026-01-22 22:00:00,28.5 V
2026-01-23 04:00:00,28.4 V
2026-01-23 10:00:00,28.4 V
2026-01-23 16:00:00,28.4 V
2026-01-23 22:00:00,28.4 V
2026-01-24 04:00:00,28.4 V
2026-01-24 10:00:00,28.4 V
2026-01-24 16:00:00,28.3 V
2026-01-24 22:00:00,28.3 V
2026-01-25 04:00:00,28.2 V
2026-01-25 10:00:00,28.2 V
2026-01-25 16:00:00,28.1 V
2026-01-25 22:00:00,28.0 V
2026-01-26 04:00:00,27.9 V
2026-01-26 10:00:00,28.0 V
2026-01-26 16:00:00,27.9 V
2026-01-26 22:00:00,27.8 V
2026-01-27 04:00:00,27.7 V
2026-01-27 10:00:00,27.7 V
2026-01-27 16:00:00,27.6 V
2026-01-27 22:00:00,27.4 V
2026-01-28 04:00:00,27.4 V
2026-01-28 10:00:00,27.4 V
2026-01-28 16:00:00,27.4 V
2026-01-28 22:00:00,27.3 V
2026-01-29 04:00:00,27.2 V
2026-01-29 10:00:00,27.2 V
2026-01-29 16:00:00,27.1 V
2026-01-29 22:00:00,26.9 V
2026-01-30 04:00:00,26.8 V
2026-01-30 10:00:00,26.7 V
2026-01-30 16:00:00,26.7 V
2026-01-30 22:00:00,26.6 V
2026-01-31 04:00:00,26.5 V
2026-01-31 10:00:00,26.4 V
2026-01-31 16:00:00,26.3 V
2026-01-31 22:00:00,26.2 V
2026-02-01 04:00:00,26.1 V
2026-02-01 10:00:00,26.1 V
2026-02-01 16:00:00,26.0 V
2026-02-01 22:00:00,25.9 V
2026-02-02 04:00:00,25.8 V
2026-02-02 10:00:00,25.7 V
2026-02-02 16:00:00,25.6 V
2026-02-02 22:00:00,25.5 V
2026-02-03 04:00:00,25.4 V
2026-02-03 10:00:00,25.4 V
2026-02-03 16:00:00,25.2 V
2026-02-03 22:00:00,25.0 V
2026-02-04 04:00:00,24.9 V
2026-02-04 10:00:00,24.7 V
