"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-01-21 10:00:00,-2.79 Wh,-5.70 Wh,-38.8 Wh,-4.97 Wh,-41.9 Wh
2026-01-21 11:00:00,-4.03 Wh,-5.61 Wh,-38.2 Wh,-5.02 Wh,-121 Wh
2026-01-21 12:00:00,-4.18 Wh,-5.66 Wh,-30.2 Wh,-4.38 Wh,-72.0 Wh
2026-01-21 13:00:00,-2.91 Wh,-5.58 Wh,,-4.06 Wh,-72.9 Wh
2026-01-21 14:00:00,-4.33 Wh,-5.21 Wh,,-4.04 Wh,-64.4 Wh
2026-01-21 15:00:00,-4.40 Wh,-5.31 Wh,-27.5 Wh,-4.14 Wh,-66.1 Wh
2026-01-21 16:00:00,-3.89 Wh,-5.38 Wh,-27.2 Wh,-4.14 Wh,-47.9 Wh
2026-01-21 17:00:00,-4.07 Wh,-5.41 Wh,-27.0 Wh,-4.13 Wh,-59.4 Wh
2026-01-21 18:00:00,-4.05 Wh,-5.39 Wh,-26.4 Wh,-4.13 Wh,-37.1 Wh
2026-01-21 19:00:00,-4.27 Wh,-5.39 Wh,-27.2 Wh,-4.11 Wh,-52.5 Wh
2026-01-21 20:00:00,-3.74 Wh,-5.39 Wh,-27.2 Wh,-4.10 Wh,-26.0 Wh
2026-01-21 21:00:00,-2.41 Wh,-5.36 Wh,-28.6 Wh,-4.09 Wh,-7.54 Wh
2026-01-21 22:00:00,-1.72 Wh,-5.40 Wh,-28.6 Wh,-4.11 Wh,0 Wh
2026-01-21 23:00:00,-1.74 Wh,-5.40 Wh,-29.3 Wh,-4.08 Wh,0 Wh
2026-01-22 00:00:00,-1.76 Wh,-5.42 Wh,-29.4 Wh,-4.08 Wh,0 Wh
2026-01-22 01:00:00,-1.71 Wh,-5.43 Wh,-29.0 Wh,-4.08 Wh,0 Wh
2026-01-22 02:00:00,-1.74 Wh,-5.40 Wh,-28.6 Wh,-4.09 Wh,0 Wh
2026-01-22 03:00:00,-1.76 Wh,-5.45 Wh,-28.7 Wh,-4.07 Wh,0 Wh
2026-01-22 04:00:00,-1.77 Wh,-5.37 Wh,-28.7 Wh,-4.06 Wh,0 Wh
2026-01-22 05:00:00,-1.76 Wh,-5.33 Wh,-29.0 Wh,-4.08 Wh,0 Wh
2026-01-22 06:00:00,-1.75 Wh,-5.40 Wh,-29.0 Wh,-4.07 Wh,0 Wh
2026-01-22 07:00:00,-3.00 Wh,-5.42 Wh,-29.6 Wh,-4.06 Wh,-21.9 Wh
2026-01-22 08:00:00,-1.76 Wh,-5.39 Wh,-29.1 Wh,-4.17 Wh,0 Wh
2026-01-22 09:00:00,-1.73 Wh,-5.35 Wh,-27.0 Wh,-4.08 Wh,0 Wh
2026-01-22 10:00:00,-1.73 Wh,-5.44 Wh,-27.4 Wh,-4.10 Wh,0 Wh
2026-01-22 11:00:00,-1.75 Wh,-5.47 Wh,-27.5 Wh,-4.13 Wh,0 Wh
2026-01-22 12:00:00,-2.71 Wh,-5.36 Wh,-26.7 Wh,-4.16 Wh,-27.5 Wh
2026-01-22 13:00:00,-4.50 Wh,-5.44 Wh,-26.7 Wh,-4.16 Wh,-59.1 Wh
2026-01-22 14:00:00,-1.90 Wh,-5.43 Wh,-26.5 Wh,-4.17 Wh,-2.53 Wh
2026-01-22 15:00:00,-1.76 Wh,-5.51 Wh,-27.1 Wh,-4.11 Wh,0 Wh
2026-01-22 16:00:00,-1.76 Wh,-5.51 Wh,-26.5 Wh,-4.10 Wh,0 Wh
2026-01-22 17:00:00,-1.77 Wh,-5.50 Wh,-26.4 Wh,-4.11 Wh,0 Wh
2026-01-22 18:00:00,-1.76 Wh,-5.47 Wh,-26.6 Wh,-4.09 Wh,0 Wh
2026-01-22 19:00:00,-1.77 Wh,-5.37 Wh,-25.8 Wh,-4.08 Wh,0 Wh
2026-01-22 20:00:00,-1.77 Wh,-5.45 Wh,-25.7 Wh,-4.08 Wh,0 Wh
2026-01-22 21:00:00,-1.78 Wh,-5.42 Wh,-25.9 Wh,-4.09 Wh,0 Wh
2026-01-22 22:00:00,-1.86 Wh,-5.43 Wh,-26.2 Wh,-4.06 Wh,-921 mWh
2026-01-22 23:00:00,-1.86 Wh,-5.39 Wh,-26.6 Wh,-4.07 Wh,-724 mWh
2026-01-23 00:00:00,-4.12 Wh,-5.44 Wh,-27.7 Wh,-4.11 Wh,-19.7 Wh
2026-01-23 01:00:00,-4.01 Wh,-5.35 Wh,-28.5 Wh,-4.09 Wh,-20.4 Wh
2026-01-23 02:00:00,-4.22 Wh,-5.27 Wh,-28.1 Wh,-4.09 Wh,-20.1 Wh
2026-01-23 03:00:00,-2.42 Wh,-5.24 Wh,-28.3 Wh,-4.10 Wh,-5.27 Wh
2026-01-23 04:00:00,-1.78 Wh,-5.20 Wh,-28.3 Wh,-4.07 Wh,0 Wh
2026-01-23 05:00:00,-1.79 Wh,-5.33 Wh,-28.2 Wh,-4.07 Wh,0 Wh
2026-01-23 06:00:00,-1.77 Wh,-5.27 Wh,-28.3 Wh,-4.09 Wh,0 Wh
2026-01-23 07:00:00,-3.01 Wh,-5.32 Wh,-27.6 Wh,-4.08 Wh,-7.83 Wh
2026-01-23 08:00:00,-2.21 Wh,-5.30 Wh,-26.9 Wh,-4.06 Wh,-4.22 Wh
2026-01-23 09:00:00,-1.75 Wh,-5.38 Wh,-26.5 Wh,-4.10 Wh,0 Wh
2026-01-23 10:00:00,-2.47 Wh,-5.30 Wh,-25.9 Wh,-4.11 Wh,-5.29 Wh
2026-01-23 11:00:00,-1.73 Wh,-5.30 Wh,-26.9 Wh,-4.10 Wh,0 Wh
2026-01-23 12:00:00,-1.76 Wh,-5.25 Wh,-26.4 Wh,-4.11 Wh,0 Wh
2026-01-23 13:00:00,-1.76 Wh,-5.24 Wh,-26.5 Wh,-4.12 Wh,0 Wh
2026-01-23 14:00:00,-1.77 Wh,-5.24 Wh,-26.5 Wh,-4.13 Wh,0 Wh
2026-01-23 15:00:00,-1.77 Wh,-5.24 Wh,-27.0 Wh,-4.10 Wh,0 Wh
2026-01-23 16:00:00,-2.32 Wh,-5.35 Wh,-26.5 Wh,-4.09 Wh,-13.3 Wh
2026-01-23 17:00:00,-3.21 Wh,-5.26 Wh,-26.7 Wh,-4.10 Wh,-32.8 Wh
2026-01-23 18:00:00,-1.76 Wh,-5.40 Wh,-26.8 Wh,-4.11 Wh,0 Wh
2026-01-23 19:00:00,-1.76 Wh,-5.42 Wh,-26.9 Wh,-4.07 Wh,0 Wh
2026-01-23 20:00:00,-1.77 Wh,-5.40 Wh,-28.4 Wh,-4.06 Wh,0 Wh
2026-01-23 21:00:00,-1.77 Wh,-5.41 Wh,-29.2 Wh,-4.09 Wh,0 Wh
2026-01-23 22:00:00,-3.24 Wh,-5.40 Wh,-28.6 Wh,-4.07 Wh,-43.2 Wh
2026-01-23 23:00:00,-3.31 Wh,-5.40 Wh,-28.3 Wh,-4.08 Wh,-41.7 Wh
2026-01-24 00:00:00,-1.80 Wh,-5.20 Wh,-29.2 Wh,-4.10 Wh,0 Wh
2026-01-24 01:00:00,-1.79 Wh,-5.38 Wh,-28.8 Wh,-4.07 Wh,0 Wh
2026-01-24 02:00:00,-1.78 Wh,-5.39 Wh,-28.2 Wh,-4.08 Wh,0 Wh
2026-01-24 03:00:00,-1.78 Wh,-5.35 Wh,-28.0 Wh,-4.10 Wh,0 Wh
2026-01-24 04:00:00,-1.77 Wh,-5.40 Wh,-28.1 Wh,-4.09 Wh,0 Wh
2026-01-24 05:00:00,-2.80 Wh,-5.44 Wh,-28.0 Wh,-4.07 Wh,-21.8 Wh
2026-01-24 06:00:00,-1.87 Wh,-5.38 Wh,-28.1 Wh,-4.07 Wh,-2.67 Wh
2026-01-24 07:00:00,-1.80 Wh,-5.33 Wh,-28.4 Wh,-4.08 Wh,0 Wh
2026-01-24 08:00:00,-1.93 Wh,-5.36 Wh,-28.0 Wh,-4.06 Wh,-4.41 Wh
