"Time","Panel 1","Panel 2","Panel 3"
2026-01-21 10:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 11:00:00,16.1 Wh,24.1 Wh,27.5 Wh
2026-01-21 12:00:00,17.0 Wh,26.9 Wh,27.4 Wh
2026-01-21 13:00:00,10.4 Wh,14.7 Wh,13.7 Wh
2026-01-21 14:00:00,12.1 Wh,19.9 Wh,18.2 Wh
2026-01-21 15:00:00,9.52 Wh,14.1 Wh,13.8 Wh
2026-01-21 16:00:00,4.61 Wh,7.52 Wh,6.33 Wh
2026-01-21 17:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 19:00:00,14.0 mWh,0 Wh,0 Wh
2026-01-21 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-21 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 04:00:00,0 Wh,0 Wh,7.46 mWh
2026-01-22 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 07:00:00,173 mWh,569 mWh,431 mWh
2026-01-22 08:00:00,8.54 Wh,11.2 Wh,6.07 Wh
2026-01-22 09:00:00,12.2 Wh,18.1 Wh,21.0 Wh
2026-01-22 10:00:00,20.5 Wh,32.1 Wh,33.2 Wh
2026-01-22 11:00:00,29.9 Wh,46.5 Wh,48.8 Wh
2026-01-22 12:00:00,28.1 Wh,50.0 Wh,40.1 Wh
2026-01-22 13:00:00,16.3 Wh,51.2 Wh,29.3 Wh
2026-01-22 14:00:00,7.47 Wh,16.0 Wh,34.9 Wh
2026-01-22 15:00:00,7.98 Wh,8.86 Wh,16.1 Wh
2026-01-22 16:00:00,6.68 Wh,7.71 Wh,6.38 Wh
2026-01-22 17:00:00,0 Wh,311 mWh,84.6 mWh
2026-01-22 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 19:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-22 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 04:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 07:00:00,10.9 mWh,0 Wh,0 Wh
2026-01-23 08:00:00,1.45 Wh,2.78 Wh,2.08 Wh
2026-01-23 09:00:00,6.81 Wh,9.28 Wh,8.86 Wh
2026-01-23 10:00:00,9.82 Wh,14.6 Wh,14.3 Wh
2026-01-23 11:00:00,12.4 Wh,19.4 Wh,18.8 Wh
2026-01-23 12:00:00,15.0 Wh,24.1 Wh,24.5 Wh
2026-01-23 13:00:00,12.3 Wh,19.3 Wh,18.5 Wh
2026-01-23 14:00:00,10.6 Wh,16.1 Wh,16.2 Wh
2026-01-23 15:00:00,9.54 Wh,14.9 Wh,14.9 Wh
2026-01-23 16:00:00,5.48 Wh,7.86 Wh,7.24 Wh
2026-01-23 17:00:00,0 Wh,316 mWh,82.8 mWh
2026-01-23 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 19:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-23 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 04:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 07:00:00,1.58 Wh,2.76 Wh,2.74 Wh
2026-01-24 08:00:00,10.4 Wh,15.4 Wh,15.9 Wh
2026-01-24 09:00:00,14.7 Wh,29.2 Wh,31.4 Wh
2026-01-24 10:00:00,29.6 Wh,46.2 Wh,50.2 Wh
2026-01-24 11:00:00,35.6 Wh,54.4 Wh,58.3 Wh
2026-01-24 12:00:00,31.4 Wh,58.8 Wh,60.4 Wh
2026-01-24 13:00:00,7.35 Wh,52.3 Wh,54.8 Wh
2026-01-24 14:00:00,7.96 Wh,38.9 Wh,42.1 Wh
2026-01-24 15:00:00,9.97 Wh,8.07 Wh,11.9 Wh
2026-01-24 16:00:00,9.86 Wh,8.49 Wh,7.89 Wh
2026-01-24 17:00:00,0 Wh,33.7 mWh,23.7 mWh
2026-01-24 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 19:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-24 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 04:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 07:00:00,313 mWh,1.65 Wh,1.60 Wh
2026-01-25 08:00:00,7.25 Wh,10.4 Wh,10.3 Wh
2026-01-25 09:00:00,15.8 Wh,24.5 Wh,25.8 Wh
2026-01-25 10:00:00,22.1 Wh,37.0 Wh,40.2 Wh
2026-01-25 11:00:00,16.0 Wh,30.7 Wh,32.7 Wh
2026-01-25 12:00:00,22.1 Wh,38.3 Wh,40.6 Wh
2026-01-25 13:00:00,14.8 Wh,23.9 Wh,25.3 Wh
2026-01-25 14:00:00,14.1 Wh,22.2 Wh,23.7 Wh
2026-01-25 15:00:00,11.1 Wh,17.0 Wh,17.8 Wh
2026-01-25 16:00:00,3.88 Wh,5.69 Wh,5.92 Wh
2026-01-25 17:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 19:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-25 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 04:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 07:00:00,1.42 Wh,3.44 Wh,2.75 Wh
2026-01-26 08:00:00,11.0 Wh,19.1 Wh,18.2 Wh
2026-01-26 09:00:00,9.69 Wh,14.9 Wh,24.9 Wh
2026-01-26 10:00:00,18.1 Wh,29.1 Wh,40.2 Wh
2026-01-26 11:00:00,27.3 Wh,50.7 Wh,55.6 Wh
2026-01-26 12:00:00,34.9 Wh,54.1 Wh,56.4 Wh
2026-01-26 13:00:00,33.2 Wh,52.2 Wh,55.2 Wh
2026-01-26 14:00:00,24.1 Wh,37.2 Wh,40.2 Wh
2026-01-26 15:00:00,18.9 Wh,28.9 Wh,31.0 Wh
2026-01-26 16:00:00,8.16 Wh,12.0 Wh,12.8 Wh
2026-01-26 17:00:00,0 Wh,140 mWh,278 mWh
2026-01-26 18:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 19:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 20:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 21:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 22:00:00,0 Wh,0 Wh,0 Wh
2026-01-26 23:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 00:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 01:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 02:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 03:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 04:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 05:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 06:00:00,0 Wh,0 Wh,0 Wh
2026-01-27 07:00:00,576 mWh,952 mWh,968 mWh
2026-01-27 08:00:00,11.9 Wh,18.2 Wh,19.3 Wh
2026-01-27 09:00:00,20.0 Wh,31.7 Wh,35.6 Wh
2026-01-27 10:00:00,24.5 Wh,39.2 Wh,43.0 Wh
