"Time","Motor"
2026-01-21 10:40:00,45.3 Wh
2026-01-21 10:50:00,40.2 Wh
2026-01-21 11:00:00,72.2 Wh
2026-01-21 11:10:00,152 Wh
2026-01-21 11:20:00,132 Wh
2026-01-21 11:30:00,134 Wh
2026-01-21 11:40:00,138 Wh
2026-01-21 11:50:00,99.7 Wh
2026-01-21 12:00:00,72.1 Wh
2026-01-21 12:10:00,71.7 Wh
2026-01-21 12:20:00,72.9 Wh
2026-01-21 12:30:00,78.1 Wh
2026-01-21 12:40:00,73.5 Wh
2026-01-21 12:50:00,73.5 Wh
2026-01-21 13:00:00,74.0 Wh
2026-01-21 13:10:00,77.0 Wh
2026-01-21 13:20:00,70.5 Wh
2026-01-21 13:30:00,70.4 Wh
2026-01-21 13:40:00,71.0 Wh
2026-01-21 13:50:00,73.5 Wh
2026-01-21 14:00:00,75.9 Wh
2026-01-21 14:10:00,78.4 Wh
2026-01-21 14:20:00,75.0 Wh
2026-01-21 14:30:00,73.1 Wh
2026-01-21 14:40:00,50.7 Wh
2026-01-21 14:50:00,28.8 Wh
2026-01-21 15:00:00,28.2 Wh
2026-01-21 15:10:00,26.5 Wh
2026-01-21 15:20:00,48.4 Wh
2026-01-21 15:30:00,93.5 Wh
2026-01-21 15:40:00,84.8 Wh
2026-01-21 15:50:00,54.9 Wh
2026-01-21 16:00:00,54.5 Wh
2026-01-21 16:10:00,53.8 Wh
2026-01-21 16:20:00,54.1 Wh
2026-01-21 16:30:00,45.4 Wh
2026-01-21 16:40:00,39.3 Wh
2026-01-21 16:50:00,39.8 Wh
2026-01-21 17:00:00,57.8 Wh
2026-01-21 17:10:00,60.0 Wh
2026-01-21 17:20:00,59.9 Wh
2026-01-21 17:30:00,59.6 Wh
2026-01-21 17:40:00,59.6 Wh
2026-01-21 17:50:00,59.6 Wh
2026-01-21 18:00:00,57.6 Wh
2026-01-21 18:10:00,36.1 Wh
2026-01-21 18:20:00,36.1 Wh
2026-01-21 18:30:00,35.6 Wh
2026-01-21 18:40:00,22.7 Wh
2026-01-21 18:50:00,22.5 Wh
2026-01-21 19:00:00,16.5 Wh
2026-01-21 19:10:00,111 Wh
2026-01-21 19:20:00,107 Wh
2026-01-21 19:30:00,45.9 Wh
2026-01-21 19:40:00,37.5 Wh
2026-01-21 19:50:00,37.6 Wh
2026-01-21 20:00:00,38.2 Wh
2026-01-21 20:10:00,36.8 Wh
2026-01-21 20:20:00,26.3 Wh
2026-01-21 20:30:00,18.5 Wh
2026-01-21 20:40:00,17.9 Wh
2026-01-21 20:50:00,18.3 Wh
2026-01-21 21:00:00,18.5 Wh
2026-01-21 21:10:00,18.3 Wh
2026-01-21 21:20:00,7.77 Wh
2026-01-21 21:30:00,0 Wh
2026-01-21 21:40:00,0 Wh
2026-01-21 21:50:00,0 Wh
2026-01-21 22:00:00,0 Wh
2026-01-21 22:10:00,0 Wh
2026-01-21 22:20:00,0 Wh
2026-01-21 22:30:00,0 Wh
2026-01-21 22:40:00,0 Wh
2026-01-21 22:50:00,0 Wh
2026-01-21 23:00:00,0 Wh
2026-01-21 23:10:00,0 Wh
2026-01-21 23:20:00,0 Wh
2026-01-21 23:30:00,0 Wh
2026-01-21 23:40:00,0 Wh
2026-01-21 23:50:00,0 Wh
2026-01-22 00:00:00,0 Wh
