"Time","Min","Average","Max"
2026-01-21 10:00:00,1.87 kn,5.03 kn,7.79 kn
2026-01-21 12:00:00,2.41 kn,5.28 kn,7.41 kn
2026-01-21 14:00:00,1.17 kn,3.48 kn,5.09 kn
2026-01-21 16:00:00,0.700 kn,3.30 kn,5.09 kn
2026-01-21 18:00:00,1.73 kn,4.95 kn,7.23 kn
2026-01-21 20:00:00,2.08 kn,4.36 kn,7.35 kn
2026-01-21 22:00:00,3.97 kn,6.03 kn,7.68 kn
2026-01-22 00:00:00,1.83 kn,4.26 kn,6.78 kn
2026-01-22 02:00:00,2.08 kn,4.85 kn,8.32 kn
2026-01-22 04:00:00,0.544 kn,4.57 kn,6.55 kn
2026-01-22 06:00:00,0.719 kn,2.54 kn,4.33 kn
2026-01-22 08:00:00,1.46 kn,3.58 kn,6.14 kn
2026-01-22 10:00:00,3.15 kn,4.76 kn,7.83 kn
2026-01-22 12:00:00,2.92 kn,9.15 kn,14.5 kn
2026-01-22 14:00:00,8.59 kn,12.2 kn,15.8 kn
2026-01-22 16:00:00,8.28 kn,11.8 kn,14.9 kn
2026-01-22 18:00:00,12.1 kn,13.9 kn,15.1 kn
2026-01-22 20:00:00,8.05 kn,10.9 kn,12.6 kn
2026-01-22 22:00:00,5.75 kn,7.73 kn,8.88 kn
2026-01-23 00:00:00,4.72 kn,6.83 kn,8.71 kn
2026-01-23 02:00:00,3.27 kn,6.18 kn,7.95 kn
2026-01-23 04:00:00,3.71 kn,6.03 kn,8.01 kn
2026-01-23 06:00:00,2.43 kn,5.57 kn,9.49 kn
2026-01-23 08:00:00,0.875 kn,3.79 kn,5.09 kn
2026-01-23 10:00:00,1.56 kn,2.89 kn,4.84 kn
2026-01-23 12:00:00,2.45 kn,4.18 kn,6.45 kn
2026-01-23 14:00:00,6.05 kn,8.47 kn,10.9 kn
2026-01-23 16:00:00,7.87 kn,9.64 kn,15.2 kn
2026-01-23 18:00:00,11.6 kn,12.9 kn,14.7 kn
2026-01-23 20:00:00,10.9 kn,12.5 kn,14.7 kn
2026-01-23 22:00:00,9.02 kn,10.6 kn,11.6 kn
2026-01-24 00:00:00,6.76 kn,9.07 kn,10.5 kn
2026-01-24 02:00:00,3.44 kn,5.93 kn,7.83 kn
2026-01-24 04:00:00,4.37 kn,5.54 kn,6.26 kn
2026-01-24 06:00:00,5.44 kn,8.54 kn,10.7 kn
2026-01-24 08:00:00,8.57 kn,9.42 kn,10.6 kn
2026-01-24 10:00:00,9.89 kn,11.3 kn,13.4 kn
2026-01-24 12:00:00,9.17 kn,11.8 kn,14.0 kn
2026-01-24 14:00:00,10.7 kn,12.7 kn,14.2 kn
2026-01-24 16:00:00,10.2 kn,12.8 kn,14.5 kn
2026-01-24 18:00:00,9.84 kn,10.8 kn,11.8 kn
2026-01-24 20:00:00,5.70 kn,8.31 kn,10.7 kn
2026-01-24 22:00:00,3.77 kn,5.22 kn,8.90 kn
2026-01-25 00:00:00,2.24 kn,4.53 kn,6.57 kn
