"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-03-11 23:00:00,-1.63 Wh,-6.30 Wh,-37.2 Wh,-4.95 Wh,0 Wh
2026-03-12 00:00:00,-1.59 Wh,-6.05 Wh,-38.7 Wh,-5.07 Wh,-4.18 mWh
2026-03-12 01:00:00,-3.57 Wh,-5.83 Wh,-40.6 Wh,-5.16 Wh,-108 Wh
2026-03-12 02:00:00,-4.74 Wh,-5.73 Wh,-40.6 Wh,-5.19 Wh,-99.1 Wh
2026-03-12 03:00:00,-4.63 Wh,-5.73 Wh,-39.9 Wh,-5.18 Wh,-103 Wh
2026-03-12 04:00:00,-4.52 Wh,-5.63 Wh,-40.4 Wh,-5.23 Wh,-91.6 Wh
2026-03-12 05:00:00,-4.41 Wh,-5.69 Wh,-40.3 Wh,-5.23 Wh,-93.5 Wh
2026-03-12 06:00:00,-4.71 Wh,-5.61 Wh,-39.8 Wh,-5.21 Wh,-95.0 Wh
2026-03-12 07:00:00,-4.75 Wh,-5.73 Wh,-41.0 Wh,-5.23 Wh,-97.9 Wh
2026-03-12 08:00:00,-4.83 Wh,-5.69 Wh,-37.8 Wh,-5.01 Wh,-257 Wh
2026-03-12 09:00:00,-4.70 Wh,-5.72 Wh,-30.6 Wh,-4.55 Wh,-194 Wh
2026-03-12 10:00:00,-4.85 Wh,-5.63 Wh,-30.7 Wh,-4.60 Wh,-145 Wh
2026-03-12 11:00:00,-4.75 Wh,-5.61 Wh,-30.6 Wh,-4.62 Wh,-81.8 Wh
2026-03-12 12:00:00,-4.61 Wh,-5.69 Wh,-30.4 Wh,-4.61 Wh,-42.5 Wh
2026-03-12 13:00:00,-2.09 Wh,-5.72 Wh,-28.9 Wh,-4.61 Wh,-6.09 Wh
2026-03-12 14:00:00,-1.75 Wh,-5.74 Wh,-29.2 Wh,-4.63 Wh,0 Wh
2026-03-12 15:00:00,-2.25 Wh,-5.68 Wh,-29.0 Wh,-4.63 Wh,-7.14 Wh
2026-03-12 16:00:00,-4.67 Wh,-5.69 Wh,-29.7 Wh,-4.61 Wh,-41.0 Wh
2026-03-12 17:00:00,-4.43 Wh,-5.67 Wh,-30.3 Wh,-4.63 Wh,-40.7 Wh
2026-03-12 18:00:00,-4.45 Wh,-5.67 Wh,-30.7 Wh,-4.64 Wh,-40.5 Wh
2026-03-12 19:00:00,-4.54 Wh,-5.66 Wh,-31.8 Wh,-4.61 Wh,-41.1 Wh
2026-03-12 20:00:00,-4.69 Wh,-5.60 Wh,-31.9 Wh,-4.60 Wh,-40.8 Wh
2026-03-12 21:00:00,-3.24 Wh,-5.65 Wh,-32.6 Wh,-4.61 Wh,-20.4 Wh
2026-03-12 22:00:00,-2.26 Wh,-5.66 Wh,-33.7 Wh,-4.59 Wh,-8.32 Wh
2026-03-12 23:00:00,-1.77 Wh,-5.68 Wh,-31.8 Wh,-4.58 Wh,0 Wh
2026-03-13 00:00:00,-1.77 Wh,-5.65 Wh,-32.3 Wh,-4.59 Wh,0 Wh
2026-03-13 01:00:00,-3.98 Wh,-5.73 Wh,-30.2 Wh,-4.58 Wh,-37.3 Wh
2026-03-13 02:00:00,-4.48 Wh,-5.73 Wh,-30.1 Wh,-4.58 Wh,-45.3 Wh
2026-03-13 03:00:00,-4.39 Wh,-5.67 Wh,-30.6 Wh,-4.59 Wh,-46.3 Wh
2026-03-13 04:00:00,-4.29 Wh,-5.73 Wh,-31.0 Wh,-4.60 Wh,-47.1 Wh
2026-03-13 05:00:00,-4.53 Wh,-5.77 Wh,-30.6 Wh,-4.59 Wh,-49.2 Wh
2026-03-13 06:00:00,-4.13 Wh,-5.74 Wh,-30.9 Wh,-4.60 Wh,-44.5 Wh
2026-03-13 07:00:00,-1.81 Wh,-5.83 Wh,-31.3 Wh,-4.59 Wh,0 Wh
2026-03-13 08:00:00,-1.80 Wh,-5.85 Wh,-30.0 Wh,-4.57 Wh,0 Wh
2026-03-13 09:00:00,-2.84 Wh,-6.00 Wh,-30.0 Wh,-4.57 Wh,-8.59 Wh
2026-03-13 10:00:00,-4.52 Wh,-6.17 Wh,-30.1 Wh,-4.62 Wh,-27.4 Wh
2026-03-13 11:00:00,-4.53 Wh,-6.16 Wh,-29.5 Wh,-4.59 Wh,-39.7 Wh
2026-03-13 12:00:00,-4.48 Wh,-6.16 Wh,-29.2 Wh,-4.60 Wh,-43.2 Wh
2026-03-13 13:00:00,-3.94 Wh,-6.09 Wh,-29.6 Wh,-4.63 Wh,-28.0 Wh
2026-03-13 14:00:00,-1.78 Wh,-6.02 Wh,-30.0 Wh,-4.62 Wh,0 Wh
2026-03-13 15:00:00,-2.28 Wh,-5.90 Wh,-28.8 Wh,-4.61 Wh,-6.12 Wh
2026-03-13 16:00:00,-4.40 Wh,-5.91 Wh,-28.8 Wh,-4.63 Wh,-33.8 Wh
2026-03-13 17:00:00,-4.46 Wh,-5.84 Wh,-29.4 Wh,-4.64 Wh,-33.7 Wh
2026-03-13 18:00:00,-4.41 Wh,-5.65 Wh,-29.3 Wh,-4.63 Wh,-33.4 Wh
2026-03-13 19:00:00,-4.46 Wh,-5.66 Wh,-29.1 Wh,-4.61 Wh,-30.6 Wh
2026-03-13 20:00:00,-4.46 Wh,-5.58 Wh,-30.5 Wh,-4.61 Wh,-41.2 Wh
2026-03-13 21:00:00,-4.30 Wh,-5.59 Wh,-30.5 Wh,-4.62 Wh,-44.3 Wh
2026-03-13 22:00:00,-4.41 Wh,-5.59 Wh,-30.4 Wh,-4.60 Wh,-63.1 Wh
2026-03-13 23:00:00,-4.42 Wh,-5.58 Wh,-30.6 Wh,-4.60 Wh,-75.7 Wh
2026-03-14 00:00:00,-4.55 Wh,-5.50 Wh,-30.6 Wh,-4.61 Wh,-81.5 Wh
2026-03-14 01:00:00,-4.54 Wh,-5.47 Wh,-30.6 Wh,-4.60 Wh,-92.1 Wh
2026-03-14 02:00:00,-4.54 Wh,-5.55 Wh,-31.0 Wh,-4.60 Wh,-82.6 Wh
2026-03-14 03:00:00,-4.44 Wh,-5.66 Wh,-31.1 Wh,-4.62 Wh,-71.6 Wh
2026-03-14 04:00:00,-4.50 Wh,-5.59 Wh,-31.1 Wh,-4.60 Wh,-61.4 Wh
2026-03-14 05:00:00,-4.47 Wh,-5.59 Wh,-31.1 Wh,-4.60 Wh,-51.1 Wh
2026-03-14 06:00:00,-4.37 Wh,-5.68 Wh,-31.1 Wh,-4.62 Wh,-46.7 Wh
2026-03-14 07:00:00,-4.46 Wh,-5.68 Wh,-30.7 Wh,-4.59 Wh,-45.6 Wh
2026-03-14 08:00:00,-4.42 Wh,-5.61 Wh,-29.6 Wh,-4.59 Wh,-41.1 Wh
2026-03-14 09:00:00,-4.42 Wh,-5.54 Wh,-29.6 Wh,-4.61 Wh,-41.8 Wh
2026-03-14 10:00:00,-2.15 Wh,-5.46 Wh,-29.2 Wh,-4.58 Wh,-3.96 Wh
2026-03-14 11:00:00,-1.83 Wh,-5.48 Wh,-28.6 Wh,-4.60 Wh,0 Wh
2026-03-14 12:00:00,-1.93 Wh,-5.55 Wh,-28.9 Wh,-4.63 Wh,-1.39 Wh
2026-03-14 13:00:00,-4.51 Wh,-5.39 Wh,-29.4 Wh,-4.63 Wh,-51.9 Wh
