"Time","Panel 1","Panel 2","Panel 3"
2026-03-11 23:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 00:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 01:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 02:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 03:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 04:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 05:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 06:00:00,8.02 mWh,0 Wh,0 Wh
2026-03-12 07:00:00,332 mWh,1.32 Wh,0 Wh
2026-03-12 08:00:00,6.75 Wh,7.67 Wh,15.9 mWh
2026-03-12 09:00:00,7.03 Wh,11.4 Wh,15.1 mWh
2026-03-12 10:00:00,6.34 Wh,27.4 Wh,0 Wh
2026-03-12 11:00:00,7.46 Wh,56.5 Wh,7.69 mWh
2026-03-12 12:00:00,6.01 Wh,72.3 Wh,0 Wh
2026-03-12 13:00:00,45.2 Wh,84.3 Wh,0 Wh
2026-03-12 14:00:00,27.7 Wh,75.6 Wh,0 Wh
2026-03-12 15:00:00,10.9 Wh,48.2 Wh,0 Wh
2026-03-12 16:00:00,31.0 Wh,52.1 Wh,0 Wh
2026-03-12 17:00:00,17.2 Wh,29.4 Wh,0 Wh
2026-03-12 18:00:00,6.59 Wh,11.2 Wh,0 Wh
2026-03-12 19:00:00,8.10 mWh,46.7 mWh,0 Wh
2026-03-12 20:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 21:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 22:00:00,0 Wh,0 Wh,0 Wh
2026-03-12 23:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 00:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 01:00:00,0 Wh,0 Wh,7.56 mWh
2026-03-13 02:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 03:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 04:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 05:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 06:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 07:00:00,344 mWh,769 mWh,0 Wh
2026-03-13 08:00:00,7.92 Wh,13.2 Wh,0 Wh
2026-03-13 09:00:00,12.5 Wh,29.4 Wh,0 Wh
2026-03-13 10:00:00,11.6 Wh,49.4 Wh,0 Wh
2026-03-13 11:00:00,19.3 Wh,62.8 Wh,0 Wh
2026-03-13 12:00:00,20.5 Wh,82.5 Wh,0 Wh
2026-03-13 13:00:00,22.1 Wh,65.5 Wh,0 Wh
2026-03-13 14:00:00,44.7 Wh,73.7 Wh,0 Wh
2026-03-13 15:00:00,44.0 Wh,71.0 Wh,0 Wh
2026-03-13 16:00:00,26.0 Wh,41.8 Wh,0 Wh
2026-03-13 17:00:00,14.0 Wh,22.1 Wh,0 Wh
2026-03-13 18:00:00,7.03 Wh,10.0 Wh,0 Wh
2026-03-13 19:00:00,180 mWh,618 mWh,0 Wh
2026-03-13 20:00:00,0 Wh,0 Wh,0 Wh
2026-03-13 21:00:00,7.36 mWh,0 Wh,0 Wh
2026-03-13 22:00:00,0 Wh,0 Wh,5.40 mWh
2026-03-13 23:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 00:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 01:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 02:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 03:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 04:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 05:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 06:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 07:00:00,512 mWh,2.04 Wh,0 Wh
2026-03-14 08:00:00,10.0 Wh,17.4 Wh,5.39 mWh
2026-03-14 09:00:00,13.6 Wh,31.3 Wh,0 Wh
2026-03-14 10:00:00,35.5 Wh,56.5 Wh,0 Wh
2026-03-14 11:00:00,45.9 Wh,74.5 Wh,0 Wh
2026-03-14 12:00:00,44.2 Wh,80.1 Wh,0 Wh
2026-03-14 13:00:00,7.73 Wh,79.4 Wh,0 Wh
2026-03-14 14:00:00,6.94 Wh,72.1 Wh,0 Wh
2026-03-14 15:00:00,31.1 Wh,66.8 Wh,0 Wh
2026-03-14 16:00:00,30.3 Wh,49.1 Wh,0 Wh
2026-03-14 17:00:00,13.0 Wh,26.5 Wh,0 Wh
2026-03-14 18:00:00,5.38 Wh,9.06 Wh,0 Wh
2026-03-14 19:00:00,12.7 mWh,133 mWh,0 Wh
2026-03-14 20:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 21:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 22:00:00,0 Wh,0 Wh,0 Wh
2026-03-14 23:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 00:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 01:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 02:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 03:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 04:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 05:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 06:00:00,0 Wh,0 Wh,0 Wh
2026-03-15 07:00:00,1.15 Wh,2.46 Wh,0 Wh
2026-03-15 08:00:00,6.73 Wh,15.6 Wh,0 Wh
2026-03-15 09:00:00,14.3 Wh,35.8 Wh,0 Wh
2026-03-15 10:00:00,18.2 Wh,56.7 Wh,0 Wh
2026-03-15 11:00:00,12.1 Wh,62.0 Wh,0 Wh
2026-03-15 12:00:00,10.7 Wh,77.4 Wh,0 Wh
