"Time","Motor"
2026-03-11 23:30:00,
2026-03-11 23:40:00,
2026-03-11 23:50:00,0 Wh
2026-03-12 00:00:00,0 Wh
2026-03-12 00:10:00,0 Wh
2026-03-12 00:20:00,0 Wh
2026-03-12 00:30:00,0 Wh
2026-03-12 00:40:00,0 Wh
2026-03-12 00:50:00,25.5 mWh
2026-03-12 01:00:00,13.6 Wh
2026-03-12 01:10:00,177 Wh
2026-03-12 01:20:00,162 Wh
2026-03-12 01:30:00,115 Wh
2026-03-12 01:40:00,100 Wh
2026-03-12 01:50:00,82.6 Wh
2026-03-12 02:00:00,85.4 Wh
2026-03-12 02:10:00,86.1 Wh
2026-03-12 02:20:00,87.1 Wh
2026-03-12 02:30:00,106 Wh
2026-03-12 02:40:00,114 Wh
2026-03-12 02:50:00,115 Wh
2026-03-12 03:00:00,118 Wh
2026-03-12 03:10:00,117 Wh
2026-03-12 03:20:00,115 Wh
2026-03-12 03:30:00,89.4 Wh
2026-03-12 03:40:00,87.5 Wh
2026-03-12 03:50:00,90.8 Wh
2026-03-12 04:00:00,90.4 Wh
2026-03-12 04:10:00,90.5 Wh
2026-03-12 04:20:00,90.9 Wh
2026-03-12 04:30:00,92.6 Wh
2026-03-12 04:40:00,92.5 Wh
2026-03-12 04:50:00,92.6 Wh
2026-03-12 05:00:00,92.4 Wh
2026-03-12 05:10:00,93.1 Wh
2026-03-12 05:20:00,92.5 Wh
2026-03-12 05:30:00,94.0 Wh
2026-03-12 05:40:00,94.5 Wh
2026-03-12 05:50:00,94.8 Wh
2026-03-12 06:00:00,94.5 Wh
2026-03-12 06:10:00,95.5 Wh
2026-03-12 06:20:00,95.0 Wh
2026-03-12 06:30:00,95.4 Wh
2026-03-12 06:40:00,95.1 Wh
2026-03-12 06:50:00,94.7 Wh
2026-03-12 07:00:00,94.8 Wh
2026-03-12 07:10:00,94.7 Wh
2026-03-12 07:20:00,94.4 Wh
2026-03-12 07:30:00,94.5 Wh
2026-03-12 07:40:00,94.3 Wh
2026-03-12 07:50:00,115 Wh
2026-03-12 08:00:00,131 Wh
2026-03-12 08:10:00,173 Wh
2026-03-12 08:20:00,186 Wh
2026-03-12 08:30:00,328 Wh
2026-03-12 08:40:00,343 Wh
2026-03-12 08:50:00,385 Wh
2026-03-12 09:00:00,384 Wh
2026-03-12 09:10:00,322 Wh
2026-03-12 09:20:00,168 Wh
2026-03-12 09:30:00,110 Wh
2026-03-12 09:40:00,94.4 Wh
2026-03-12 09:50:00,95.1 Wh
2026-03-12 10:00:00,95.4 Wh
2026-03-12 10:10:00,95.1 Wh
2026-03-12 10:20:00,148 Wh
2026-03-12 10:30:00,176 Wh
2026-03-12 10:40:00,175 Wh
2026-03-12 10:50:00,177 Wh
2026-03-12 11:00:00,158 Wh
2026-03-12 11:10:00,80.3 Wh
2026-03-12 11:20:00,80.2 Wh
2026-03-12 11:30:00,72.2 Wh
2026-03-12 11:40:00,50.5 Wh
2026-03-12 11:50:00,45.7 Wh
2026-03-12 12:00:00,41.1 Wh
2026-03-12 12:10:00,42.5 Wh
2026-03-12 12:20:00,45.4 Wh
2026-03-12 12:30:00,43.8 Wh
2026-03-12 12:40:00,40.9 Wh
2026-03-12 12:50:00,41.1 Wh
2026-03-12 13:00:00,33.2 Wh
2026-03-12 13:10:00,0 Wh
2026-03-12 13:20:00,0 Wh
2026-03-12 13:30:00,0 Wh
2026-03-12 13:40:00,0 Wh
2026-03-12 13:50:00,0 Wh
2026-03-12 14:00:00,0 Wh
2026-03-12 14:10:00,0 Wh
2026-03-12 14:20:00,0 Wh
2026-03-12 14:30:00,0 Wh
2026-03-12 14:40:00,0 Wh
2026-03-12 14:50:00,0 Wh
2026-03-12 15:00:00,0 Wh
2026-03-12 15:10:00,0 Wh
2026-03-12 15:20:00,0 Wh
2026-03-12 15:30:00,0 Wh
2026-03-12 15:40:00,3.00 Wh
2026-03-12 15:50:00,39.9 Wh
2026-03-12 16:00:00,41.1 Wh
2026-03-12 16:10:00,41.5 Wh
2026-03-12 16:20:00,41.0 Wh
2026-03-12 16:30:00,41.0 Wh
2026-03-12 16:40:00,40.8 Wh
2026-03-12 16:50:00,40.7 Wh
2026-03-12 17:00:00,41.0 Wh
2026-03-12 17:10:00,41.1 Wh
2026-03-12 17:20:00,40.8 Wh
2026-03-12 17:30:00,41.0 Wh
2026-03-12 17:40:00,40.6 Wh
2026-03-12 17:50:00,40.1 Wh
2026-03-12 18:00:00,40.2 Wh
2026-03-12 18:10:00,40.3 Wh
2026-03-12 18:20:00,40.7 Wh
2026-03-12 18:30:00,40.5 Wh
2026-03-12 18:40:00,40.4 Wh
2026-03-12 18:50:00,40.7 Wh
2026-03-12 19:00:00,41.0 Wh
2026-03-12 19:10:00,41.4 Wh
2026-03-12 19:20:00,41.2 Wh
2026-03-12 19:30:00,41.1 Wh
2026-03-12 19:40:00,41.0 Wh
2026-03-12 19:50:00,40.8 Wh
2026-03-12 20:00:00,41.0 Wh
2026-03-12 20:10:00,40.7 Wh
2026-03-12 20:20:00,40.8 Wh
2026-03-12 20:30:00,40.7 Wh
2026-03-12 20:40:00,40.7 Wh
2026-03-12 20:50:00,40.7 Wh
2026-03-12 21:00:00,40.9 Wh
2026-03-12 21:10:00,40.6 Wh
2026-03-12 21:20:00,16.4 Wh
2026-03-12 21:30:00,0 Wh
2026-03-12 21:40:00,0 Wh
2026-03-12 21:50:00,25.8 Wh
2026-03-12 22:00:00,39.2 Wh
2026-03-12 22:10:00,10.5 Wh
2026-03-12 22:20:00,0 Wh
2026-03-12 22:30:00,0 Wh
2026-03-12 22:40:00,0 Wh
2026-03-12 22:50:00,0 Wh
2026-03-12 23:00:00,0 Wh
2026-03-12 23:10:00,0 Wh
2026-03-12 23:20:00,0 Wh
2026-03-12 23:30:00,0 Wh
2026-03-12 23:40:00,0 Wh
2026-03-12 23:50:00,0 Wh
2026-03-13 00:00:00,0 Wh
2026-03-13 00:10:00,0 Wh
2026-03-13 00:20:00,0 Wh
2026-03-13 00:30:00,0 Wh
2026-03-13 00:40:00,0 Wh
2026-03-13 00:50:00,0 Wh
2026-03-13 01:00:00,2.69 Wh
2026-03-13 01:10:00,43.4 Wh
2026-03-13 01:20:00,45.3 Wh
2026-03-13 01:30:00,44.1 Wh
2026-03-13 01:40:00,44.3 Wh
2026-03-13 01:50:00,44.3 Wh
2026-03-13 02:00:00,45.2 Wh
2026-03-13 02:10:00,45.2 Wh
2026-03-13 02:20:00,45.1 Wh
2026-03-13 02:30:00,45.5 Wh
2026-03-13 02:40:00,45.6 Wh
2026-03-13 02:50:00,45.4 Wh
2026-03-13 03:00:00,63.0 Wh
2026-03-13 03:10:00,40.3 Wh
2026-03-13 03:20:00,38.9 Wh
2026-03-13 03:30:00,40.8 Wh
2026-03-13 03:40:00,47.3 Wh
2026-03-13 03:50:00,47.1 Wh
2026-03-13 04:00:00,47.1 Wh
2026-03-13 04:10:00,47.1 Wh
2026-03-13 04:20:00,47.0 Wh
2026-03-13 04:30:00,47.2 Wh
2026-03-13 04:40:00,47.1 Wh
2026-03-13 04:50:00,46.9 Wh
2026-03-13 05:00:00,46.4 Wh
2026-03-13 05:10:00,46.8 Wh
2026-03-13 05:20:00,50.1 Wh
2026-03-13 05:30:00,51.3 Wh
2026-03-13 05:40:00,49.9 Wh
2026-03-13 05:50:00,50.6 Wh
2026-03-13 06:00:00,50.3 Wh
2026-03-13 06:10:00,50.6 Wh
2026-03-13 06:20:00,49.8 Wh
2026-03-13 06:30:00,50.1 Wh
2026-03-13 06:40:00,49.9 Wh
2026-03-13 06:50:00,16.8 Wh
2026-03-13 07:00:00,0 Wh
2026-03-13 07:10:00,0 Wh
2026-03-13 07:20:00,0 Wh
2026-03-13 07:30:00,0 Wh
2026-03-13 07:40:00,0 Wh
2026-03-13 07:50:00,0 Wh
2026-03-13 08:00:00,0 Wh
2026-03-13 08:10:00,0 Wh
2026-03-13 08:20:00,0 Wh
2026-03-13 08:30:00,0 Wh
2026-03-13 08:40:00,0 Wh
2026-03-13 08:50:00,0 Wh
2026-03-13 09:00:00,0 Wh
2026-03-13 09:10:00,0 Wh
2026-03-13 09:20:00,0 Wh
2026-03-13 09:30:00,5.02 Wh
2026-03-13 09:40:00,23.6 Wh
2026-03-13 09:50:00,23.3 Wh
2026-03-13 10:00:00,24.1 Wh
2026-03-13 10:10:00,29.9 Wh
2026-03-13 10:20:00,29.4 Wh
2026-03-13 10:30:00,26.7 Wh
2026-03-13 10:40:00,26.8 Wh
2026-03-13 10:50:00,26.6 Wh
2026-03-13 11:00:00,27.1 Wh
2026-03-13 11:10:00,37.9 Wh
2026-03-13 11:20:00,39.8 Wh
2026-03-13 11:30:00,45.1 Wh
2026-03-13 11:40:00,46.6 Wh
2026-03-13 11:50:00,46.6 Wh
2026-03-13 12:00:00,46.4 Wh
2026-03-13 12:10:00,46.6 Wh
2026-03-13 12:20:00,46.1 Wh
2026-03-13 12:30:00,42.0 Wh
2026-03-13 12:40:00,41.3 Wh
2026-03-13 12:50:00,37.1 Wh
2026-03-13 13:00:00,34.2 Wh
2026-03-13 13:10:00,33.7 Wh
2026-03-13 13:20:00,33.9 Wh
2026-03-13 13:30:00,34.2 Wh
2026-03-13 13:40:00,31.4 Wh
2026-03-13 13:50:00,0 Wh
2026-03-13 14:00:00,0 Wh
2026-03-13 14:10:00,0 Wh
2026-03-13 14:20:00,0 Wh
2026-03-13 14:30:00,0 Wh
2026-03-13 14:40:00,0 Wh
2026-03-13 14:50:00,0 Wh
2026-03-13 15:00:00,0 Wh
2026-03-13 15:10:00,0 Wh
2026-03-13 15:20:00,0 Wh
2026-03-13 15:30:00,0 Wh
2026-03-13 15:40:00,2.43 Wh
2026-03-13 15:50:00,33.9 Wh
2026-03-13 16:00:00,34.1 Wh
2026-03-13 16:10:00,33.6 Wh
2026-03-13 16:20:00,33.6 Wh
2026-03-13 16:30:00,33.9 Wh
2026-03-13 16:40:00,33.7 Wh
2026-03-13 16:50:00,34.0 Wh
2026-03-13 17:00:00,33.8 Wh
2026-03-13 17:10:00,33.5 Wh
2026-03-13 17:20:00,33.7 Wh
2026-03-13 17:30:00,33.5 Wh
2026-03-13 17:40:00,33.6 Wh
2026-03-13 17:50:00,34.2 Wh
2026-03-13 18:00:00,34.3 Wh
2026-03-13 18:10:00,34.1 Wh
2026-03-13 18:20:00,33.4 Wh
2026-03-13 18:30:00,33.8 Wh
2026-03-13 18:40:00,33.5 Wh
2026-03-13 18:50:00,31.2 Wh
2026-03-13 19:00:00,26.8 Wh
2026-03-13 19:10:00,26.7 Wh
2026-03-13 19:20:00,26.7 Wh
2026-03-13 19:30:00,26.3 Wh
2026-03-13 19:40:00,32.5 Wh
2026-03-13 19:50:00,44.1 Wh
2026-03-13 20:00:00,45.3 Wh
2026-03-13 20:10:00,45.3 Wh
2026-03-13 20:20:00,46.4 Wh
2026-03-13 20:30:00,46.8 Wh
2026-03-13 20:40:00,37.0 Wh
2026-03-13 20:50:00,26.9 Wh
2026-03-13 21:00:00,29.9 Wh
2026-03-13 21:10:00,47.3 Wh
2026-03-13 21:20:00,47.6 Wh
2026-03-13 21:30:00,47.2 Wh
2026-03-13 21:40:00,47.2 Wh
