"Time","POB"
2026-05-14 07:00:00,29.1 V
2026-05-14 09:00:00,28.9 V
2026-05-14 11:00:00,28.8 V
2026-05-14 13:00:00,28.7 V
2026-05-14 15:00:00,28.6 V
2026-05-14 17:00:00,28.6 V
2026-05-14 19:00:00,28.5 V
2026-05-14 21:00:00,28.5 V
2026-05-14 23:00:00,28.4 V
2026-05-15 01:00:00,28.4 V
2026-05-15 03:00:00,28.4 V
2026-05-15 05:00:00,28.4 V
2026-05-15 07:00:00,28.4 V
2026-05-15 09:00:00,28.4 V
2026-05-15 11:00:00,28.4 V
2026-05-15 13:00:00,28.4 V
2026-05-15 15:00:00,28.4 V
2026-05-15 17:00:00,28.4 V
2026-05-15 19:00:00,28.3 V
2026-05-15 21:00:00,28.3 V
2026-05-15 23:00:00,28.2 V
2026-05-16 01:00:00,28.1 V
2026-05-16 03:00:00,28.0 V
2026-05-16 05:00:00,27.9 V
2026-05-16 07:00:00,27.8 V
2026-05-16 09:00:00,27.8 V
2026-05-16 11:00:00,27.8 V
2026-05-16 13:00:00,27.9 V
2026-05-16 15:00:00,27.9 V
2026-05-16 17:00:00,27.8 V
2026-05-16 19:00:00,27.6 V
2026-05-16 21:00:00,27.4 V
2026-05-16 23:00:00,27.3 V
2026-05-17 01:00:00,27.2 V
2026-05-17 03:00:00,27.0 V
2026-05-17 05:00:00,26.9 V
2026-05-17 07:00:00,26.9 V
2026-05-17 09:00:00,26.9 V
2026-05-17 11:00:00,26.9 V
2026-05-17 13:00:00,27.0 V
2026-05-17 15:00:00,27.0 V
2026-05-17 17:00:00,26.9 V
2026-05-17 19:00:00,26.8 V
2026-05-17 21:00:00,26.7 V
2026-05-17 23:00:00,26.6 V
2026-05-18 01:00:00,26.5 V
2026-05-18 03:00:00,26.5 V
2026-05-18 05:00:00,26.4 V
2026-05-18 07:00:00,26.4 V
2026-05-18 09:00:00,26.4 V
2026-05-18 11:00:00,26.5 V
2026-05-18 13:00:00,26.6 V
2026-05-18 15:00:00,26.7 V
2026-05-18 17:00:00,26.6 V
2026-05-18 19:00:00,26.5 V
2026-05-18 21:00:00,26.4 V
2026-05-18 23:00:00,26.2 V
2026-05-19 01:00:00,26.2 V
2026-05-19 03:00:00,26.1 V
2026-05-19 05:00:00,26.0 V
2026-05-19 07:00:00,26.0 V
2026-05-19 09:00:00,26.0 V
2026-05-19 11:00:00,
