"Time","Motor"
2026-05-14 08:00:00,36.5 Wh
2026-05-14 08:10:00,128 Wh
2026-05-14 08:20:00,152 Wh
2026-05-14 08:30:00,161 Wh
2026-05-14 08:40:00,161 Wh
2026-05-14 08:50:00,163 Wh
2026-05-14 09:00:00,166 Wh
2026-05-14 09:10:00,163 Wh
2026-05-14 09:20:00,164 Wh
2026-05-14 09:30:00,166 Wh
2026-05-14 09:40:00,167 Wh
2026-05-14 09:50:00,170 Wh
2026-05-14 10:00:00,169 Wh
2026-05-14 10:10:00,170 Wh
2026-05-14 10:20:00,171 Wh
2026-05-14 10:30:00,169 Wh
2026-05-14 10:40:00,171 Wh
2026-05-14 10:50:00,171 Wh
2026-05-14 11:00:00,172 Wh
2026-05-14 11:10:00,171 Wh
2026-05-14 11:20:00,169 Wh
2026-05-14 11:30:00,170 Wh
2026-05-14 11:40:00,167 Wh
2026-05-14 11:50:00,145 Wh
2026-05-14 12:00:00,145 Wh
2026-05-14 12:10:00,145 Wh
2026-05-14 12:20:00,144 Wh
2026-05-14 12:30:00,144 Wh
2026-05-14 12:40:00,145 Wh
2026-05-14 12:50:00,145 Wh
2026-05-14 13:00:00,146 Wh
2026-05-14 13:10:00,145 Wh
2026-05-14 13:20:00,146 Wh
2026-05-14 13:30:00,148 Wh
2026-05-14 13:40:00,148 Wh
2026-05-14 13:50:00,149 Wh
2026-05-14 14:00:00,149 Wh
2026-05-14 14:10:00,148 Wh
2026-05-14 14:20:00,155 Wh
2026-05-14 14:30:00,182 Wh
2026-05-14 14:40:00,183 Wh
2026-05-14 14:50:00,184 Wh
2026-05-14 15:00:00,182 Wh
2026-05-14 15:10:00,183 Wh
2026-05-14 15:20:00,183 Wh
2026-05-14 15:30:00,183 Wh
2026-05-14 15:40:00,184 Wh
2026-05-14 15:50:00,184 Wh
2026-05-14 16:00:00,184 Wh
2026-05-14 16:10:00,183 Wh
2026-05-14 16:20:00,185 Wh
2026-05-14 16:30:00,186 Wh
2026-05-14 16:40:00,185 Wh
2026-05-14 16:50:00,185 Wh
2026-05-14 17:00:00,184 Wh
2026-05-14 17:10:00,185 Wh
2026-05-14 17:20:00,169 Wh
2026-05-14 17:30:00,137 Wh
2026-05-14 17:40:00,133 Wh
2026-05-14 17:50:00,111 Wh
2026-05-14 18:00:00,112 Wh
2026-05-14 18:10:00,105 Wh
2026-05-14 18:20:00,102 Wh
2026-05-14 18:30:00,95.1 Wh
2026-05-14 18:40:00,91.0 Wh
2026-05-14 18:50:00,80.6 Wh
2026-05-14 19:00:00,81.0 Wh
2026-05-14 19:10:00,80.9 Wh
2026-05-14 19:20:00,81.3 Wh
2026-05-14 19:30:00,81.1 Wh
2026-05-14 19:40:00,81.5 Wh
2026-05-14 19:50:00,81.2 Wh
2026-05-14 20:00:00,81.9 Wh
2026-05-14 20:10:00,82.8 Wh
2026-05-14 20:20:00,86.3 Wh
2026-05-14 20:30:00,95.5 Wh
2026-05-14 20:40:00,98.5 Wh
2026-05-14 20:50:00,98.7 Wh
2026-05-14 21:00:00,97.5 Wh
2026-05-14 21:10:00,97.2 Wh
2026-05-14 21:20:00,96.2 Wh
2026-05-14 21:30:00,98.7 Wh
2026-05-14 21:40:00,104 Wh
2026-05-14 21:50:00,98.2 Wh
2026-05-14 22:00:00,96.1 Wh
2026-05-14 22:10:00,97.4 Wh
2026-05-14 22:20:00,95.9 Wh
2026-05-14 22:30:00,96.1 Wh
2026-05-14 22:40:00,100 Wh
2026-05-14 22:50:00,103 Wh
2026-05-14 23:00:00,96.6 Wh
2026-05-14 23:10:00,97.5 Wh
2026-05-14 23:20:00,95.0 Wh
2026-05-14 23:30:00,94.3 Wh
2026-05-14 23:40:00,117 Wh
2026-05-14 23:50:00,120 Wh
2026-05-15 00:00:00,84.8 Wh
2026-05-15 00:10:00,70.5 Wh
2026-05-15 00:20:00,56.9 Wh
2026-05-15 00:30:00,64.0 Wh
2026-05-15 00:40:00,72.7 Wh
2026-05-15 00:50:00,78.1 Wh
2026-05-15 01:00:00,79.0 Wh
2026-05-15 01:10:00,79.5 Wh
2026-05-15 01:20:00,75.6 Wh
2026-05-15 01:30:00,72.7 Wh
2026-05-15 01:40:00,66.9 Wh
2026-05-15 01:50:00,62.1 Wh
2026-05-15 02:00:00,62.5 Wh
2026-05-15 02:10:00,62.2 Wh
2026-05-15 02:20:00,62.7 Wh
2026-05-15 02:30:00,62.1 Wh
2026-05-15 02:40:00,61.6 Wh
2026-05-15 02:50:00,62.7 Wh
2026-05-15 03:00:00,61.9 Wh
2026-05-15 03:10:00,62.3 Wh
2026-05-15 03:20:00,60.3 Wh
2026-05-15 03:30:00,64.8 Wh
2026-05-15 03:40:00,73.6 Wh
2026-05-15 03:50:00,80.8 Wh
2026-05-15 04:00:00,80.5 Wh
2026-05-15 04:10:00,80.1 Wh
2026-05-15 04:20:00,80.4 Wh
2026-05-15 04:30:00,81.7 Wh
2026-05-15 04:40:00,80.6 Wh
2026-05-15 04:50:00,80.6 Wh
2026-05-15 05:00:00,80.8 Wh
2026-05-15 05:10:00,81.5 Wh
