"Time","Min","Average","Max"
2026-05-14 08:00:00,0.875 kn,2.61 kn,3.56 kn
2026-05-14 08:30:00,2.72 kn,3.15 kn,3.29 kn
2026-05-14 09:00:00,2.37 kn,2.68 kn,3.09 kn
2026-05-14 09:30:00,2.02 kn,2.25 kn,2.43 kn
2026-05-14 10:00:00,1.83 kn,2.08 kn,2.55 kn
2026-05-14 10:30:00,2.55 kn,5.75 kn,8.90 kn
2026-05-14 11:00:00,8.90 kn,9.74 kn,10.2 kn
2026-05-14 11:30:00,9.76 kn,10.3 kn,11.2 kn
2026-05-14 12:00:00,10.8 kn,11.2 kn,11.8 kn
2026-05-14 12:30:00,11.6 kn,12.2 kn,12.9 kn
2026-05-14 13:00:00,12.6 kn,13.5 kn,13.9 kn
2026-05-14 13:30:00,13.5 kn,13.9 kn,14.1 kn
2026-05-14 14:00:00,13.6 kn,13.9 kn,14.2 kn
2026-05-14 14:30:00,14.0 kn,14.5 kn,14.9 kn
2026-05-14 15:00:00,12.6 kn,13.2 kn,14.7 kn
2026-05-14 15:30:00,12.6 kn,13.6 kn,14.3 kn
2026-05-14 16:00:00,13.6 kn,14.2 kn,14.8 kn
2026-05-14 16:30:00,13.5 kn,14.5 kn,15.0 kn
2026-05-14 17:00:00,13.2 kn,13.9 kn,15.0 kn
2026-05-14 17:30:00,13.2 kn,13.9 kn,14.4 kn
2026-05-14 18:00:00,14.1 kn,14.8 kn,15.5 kn
2026-05-14 18:30:00,14.2 kn,14.5 kn,15.2 kn
2026-05-14 19:00:00,13.8 kn,15.1 kn,16.2 kn
2026-05-14 19:30:00,14.3 kn,15.4 kn,17.0 kn
2026-05-14 20:00:00,17.0 kn,18.5 kn,20.3 kn
2026-05-14 20:30:00,18.6 kn,19.3 kn,20.5 kn
2026-05-14 21:00:00,18.5 kn,19.4 kn,20.5 kn
2026-05-14 21:30:00,16.3 kn,17.1 kn,17.8 kn
2026-05-14 22:00:00,17.1 kn,18.2 kn,19.0 kn
2026-05-14 22:30:00,17.3 kn,18.3 kn,19.3 kn
2026-05-14 23:00:00,18.5 kn,19.6 kn,20.6 kn
2026-05-14 23:30:00,18.3 kn,18.8 kn,19.5 kn
2026-05-15 00:00:00,18.3 kn,19.4 kn,20.6 kn
2026-05-15 00:30:00,20.2 kn,21.1 kn,22.7 kn
2026-05-15 01:00:00,19.3 kn,20.9 kn,22.7 kn
2026-05-15 01:30:00,17.7 kn,18.8 kn,19.6 kn
2026-05-15 02:00:00,19.4 kn,20.9 kn,22.1 kn
2026-05-15 02:30:00,20.9 kn,21.5 kn,22.2 kn
2026-05-15 03:00:00,21.1 kn,21.9 kn,22.5 kn
2026-05-15 03:30:00,18.4 kn,20.2 kn,22.0 kn
2026-05-15 04:00:00,19.2 kn,19.9 kn,21.4 kn
2026-05-15 04:30:00,19.8 kn,20.5 kn,21.2 kn
2026-05-15 05:00:00,19.3 kn,19.8 kn,20.3 kn
2026-05-15 05:30:00,19.4 kn,20.8 kn,21.6 kn
2026-05-15 06:00:00,21.0 kn,21.8 kn,22.5 kn
2026-05-15 06:30:00,21.0 kn,21.7 kn,22.4 kn
2026-05-15 07:00:00,21.0 kn,21.8 kn,22.4 kn
2026-05-15 07:30:00,21.1 kn,21.6 kn,22.5 kn
2026-05-15 08:00:00,20.1 kn,20.6 kn,22.0 kn
2026-05-15 08:30:00,19.1 kn,20.0 kn,20.8 kn
2026-05-15 09:00:00,16.8 kn,18.6 kn,20.3 kn
2026-05-15 09:30:00,17.7 kn,19.0 kn,20.2 kn
2026-05-15 10:00:00,17.2 kn,17.7 kn,18.0 kn
2026-05-15 10:30:00,17.5 kn,18.2 kn,18.8 kn
2026-05-15 11:00:00,17.8 kn,18.7 kn,20.0 kn
2026-05-15 11:30:00,19.8 kn,21.0 kn,22.4 kn
2026-05-15 12:00:00,21.0 kn,21.6 kn,22.7 kn
2026-05-15 12:30:00,22.7 kn,23.8 kn,24.5 kn
2026-05-15 13:00:00,22.7 kn,23.6 kn,24.3 kn
2026-05-15 13:30:00,21.8 kn,22.5 kn,22.8 kn
2026-05-15 14:00:00,21.9 kn,22.5 kn,23.5 kn
2026-05-15 14:30:00,23.1 kn,24.0 kn,25.2 kn
2026-05-15 15:00:00,23.8 kn,24.6 kn,25.2 kn
2026-05-15 15:30:00,23.7 kn,24.6 kn,26.8 kn
2026-05-15 16:00:00,25.2 kn,26.1 kn,27.2 kn
2026-05-15 16:30:00,24.8 kn,25.3 kn,25.9 kn
2026-05-15 17:00:00,23.6 kn,24.3 kn,25.6 kn
2026-05-15 17:30:00,23.3 kn,24.1 kn,24.9 kn
2026-05-15 18:00:00,23.5 kn,25.0 kn,26.0 kn
2026-05-15 18:30:00,24.4 kn,25.2 kn,26.2 kn
2026-05-15 19:00:00,24.1 kn,25.6 kn,27.2 kn
2026-05-15 19:30:00,24.6 kn,26.5 kn,27.5 kn
2026-05-15 20:00:00,26.0 kn,26.6 kn,27.3 kn
2026-05-15 20:30:00,26.7 kn,27.5 kn,27.9 kn
2026-05-15 21:00:00,26.5 kn,27.1 kn,28.0 kn
2026-05-15 21:30:00,26.7 kn,27.1 kn,27.7 kn
2026-05-15 22:00:00,24.7 kn,25.5 kn,26.9 kn
2026-05-15 22:30:00,25.8 kn,26.8 kn,27.4 kn
2026-05-15 23:00:00,24.7 kn,26.6 kn,28.2 kn
2026-05-15 23:30:00,25.5 kn,26.7 kn,28.0 kn
2026-05-16 00:00:00,25.1 kn,26.6 kn,28.1 kn
2026-05-16 00:30:00,24.9 kn,25.9 kn,27.3 kn
2026-05-16 01:00:00,26.1 kn,27.3 kn,28.6 kn
2026-05-16 01:30:00,26.2 kn,27.2 kn,28.2 kn
2026-05-16 02:00:00,26.7 kn,27.6 kn,28.2 kn
2026-05-16 02:30:00,27.2 kn,28.1 kn,28.7 kn
2026-05-16 03:00:00,25.3 kn,26.7 kn,28.3 kn
2026-05-16 03:30:00,25.4 kn,26.4 kn,27.3 kn
2026-05-16 04:00:00,25.3 kn,26.5 kn,27.1 kn
2026-05-16 04:30:00,26.3 kn,27.0 kn,27.8 kn
2026-05-16 05:00:00,26.9 kn,27.4 kn,28.1 kn
2026-05-16 05:30:00,27.5 kn,28.0 kn,28.8 kn
2026-05-16 06:00:00,26.3 kn,27.4 kn,28.8 kn
2026-05-16 06:30:00,25.1 kn,26.0 kn,26.8 kn
2026-05-16 07:00:00,24.9 kn,26.1 kn,27.0 kn
2026-05-16 07:30:00,26.1 kn,27.3 kn,28.2 kn
2026-05-16 08:00:00,26.4 kn,27.2 kn,27.8 kn
2026-05-16 08:30:00,24.7 kn,25.6 kn,26.7 kn
2026-05-16 09:00:00,25.0 kn,25.9 kn,27.1 kn
2026-05-16 09:30:00,24.8 kn,25.6 kn,26.6 kn
2026-05-16 10:00:00,24.8 kn,25.6 kn,26.6 kn
2026-05-16 10:30:00,25.3 kn,26.1 kn,26.8 kn
2026-05-16 11:00:00,24.0 kn,24.7 kn,25.4 kn
2026-05-16 11:30:00,23.7 kn,24.3 kn,24.8 kn
2026-05-16 12:00:00,23.8 kn,25.0 kn,25.9 kn
2026-05-16 12:30:00,24.2 kn,25.0 kn,25.8 kn
2026-05-16 13:00:00,22.4 kn,23.3 kn,24.8 kn
2026-05-16 13:30:00,23.3 kn,24.5 kn,25.6 kn
2026-05-16 14:00:00,25.3 kn,26.4 kn,27.5 kn
2026-05-16 14:30:00,23.9 kn,24.8 kn,25.5 kn
2026-05-16 15:00:00,23.4 kn,24.7 kn,25.7 kn
2026-05-16 15:30:00,25.5 kn,28.8 kn,37.0 kn
2026-05-16 16:00:00,25.8 kn,26.6 kn,28.0 kn
2026-05-16 16:30:00,27.0 kn,27.8 kn,28.4 kn
2026-05-16 17:00:00,28.0 kn,28.5 kn,29.5 kn
2026-05-16 17:30:00,27.4 kn,28.9 kn,29.9 kn
2026-05-16 18:00:00,28.8 kn,29.8 kn,30.6 kn
