"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor"
2026-05-06 10:00:00,1.49 Wh,,,,37.9 mWh
2026-05-06 11:00:00,3.91 Wh,,,,109 Wh
2026-05-06 12:00:00,4.71 Wh,,,,116 Wh
2026-05-06 13:00:00,4.92 Wh,,,,142 Wh
2026-05-06 14:00:00,4.93 Wh,,,,144 Wh
2026-05-06 15:00:00,4.88 Wh,,,,146 Wh
2026-05-06 16:00:00,5.00 Wh,,,,147 Wh
2026-05-06 17:00:00,4.97 Wh,,,,148 Wh
2026-05-06 18:00:00,3.87 Wh,,,,140 Wh
2026-05-06 19:00:00,4.70 Wh,,,,143 Wh
2026-05-06 20:00:00,4.51 Wh,,,,91.7 Wh
2026-05-06 21:00:00,4.61 Wh,,,,51.7 Wh
2026-05-06 22:00:00,4.51 Wh,,,,35.1 Wh
2026-05-06 23:00:00,2.33 Wh,,,,6.29 Wh
2026-05-07 00:00:00,1.94 Wh,,,,2.29 Wh
2026-05-07 01:00:00,4.12 Wh,,,,52.5 Wh
2026-05-07 02:00:00,3.98 Wh,,,,37.0 Wh
2026-05-07 03:00:00,4.29 Wh,,,,43.3 Wh
2026-05-07 04:00:00,4.19 Wh,,,,44.3 Wh
2026-05-07 05:00:00,4.42 Wh,,,,44.8 Wh
2026-05-07 06:00:00,2.57 Wh,,,,16.1 Wh
2026-05-07 07:00:00,1.79 Wh,,,,0 Wh
2026-05-07 08:00:00,1.76 Wh,,,,0 Wh
2026-05-07 09:00:00,2.02 Wh,,,,4.59 Wh
2026-05-07 10:00:00,4.23 Wh,,,,43.8 Wh
2026-05-07 11:00:00,4.12 Wh,,,,45.0 Wh
2026-05-07 12:00:00,4.13 Wh,,,,74.5 Wh
2026-05-07 13:00:00,3.92 Wh,,,,74.9 Wh
2026-05-07 14:00:00,4.44 Wh,,,,44.3 Wh
2026-05-07 15:00:00,4.31 Wh,,,,37.9 Wh
2026-05-07 16:00:00,4.54 Wh,,,,37.6 Wh
2026-05-07 17:00:00,4.44 Wh,,,,41.4 Wh
2026-05-07 18:00:00,4.34 Wh,,,,45.7 Wh
2026-05-07 19:00:00,4.49 Wh,,,,44.7 Wh
2026-05-07 20:00:00,4.56 Wh,,,,44.5 Wh
2026-05-07 21:00:00,4.50 Wh,,,,44.9 Wh
2026-05-07 22:00:00,4.55 Wh,,,,45.0 Wh
2026-05-07 23:00:00,3.44 Wh,,,,29.6 Wh
2026-05-08 00:00:00,1.79 Wh,,,,0 Wh
2026-05-08 01:00:00,1.79 Wh,,,,0 Wh
2026-05-08 02:00:00,1.77 Wh,,,,0 Wh
2026-05-08 03:00:00,4.20 Wh,,,,30.5 Wh
2026-05-08 04:00:00,4.61 Wh,,,,36.2 Wh
2026-05-08 05:00:00,4.64 Wh,,,,35.9 Wh
2026-05-08 06:00:00,4.49 Wh,,,,35.9 Wh
2026-05-08 07:00:00,4.48 Wh,,,,36.6 Wh
2026-05-08 08:00:00,4.55 Wh,,,,36.0 Wh
2026-05-08 09:00:00,4.51 Wh,,,,36.0 Wh
2026-05-08 10:00:00,4.66 Wh,,,,37.7 Wh
2026-05-08 11:00:00,4.61 Wh,,,,38.1 Wh
2026-05-08 12:00:00,4.51 Wh,,,,37.3 Wh
2026-05-08 13:00:00,4.49 Wh,,,,37.2 Wh
2026-05-08 14:00:00,4.58 Wh,,,,37.2 Wh
2026-05-08 15:00:00,4.44 Wh,,,,35.1 Wh
2026-05-08 16:00:00,4.52 Wh,,,,33.3 Wh
2026-05-08 17:00:00,4.27 Wh,,,,43.2 Wh
2026-05-08 18:00:00,4.50 Wh,,,,36.6 Wh
2026-05-08 19:00:00,4.60 Wh,,,,39.9 Wh
2026-05-08 20:00:00,4.57 Wh,,,,45.4 Wh
2026-05-08 21:00:00,4.48 Wh,,,,45.7 Wh
2026-05-08 22:00:00,4.39 Wh,,,,45.8 Wh
2026-05-08 23:00:00,4.34 Wh,,,,43.7 Wh
2026-05-09 00:00:00,4.35 Wh,,,,47.0 Wh
2026-05-09 01:00:00,4.42 Wh,,,,30.2 Wh
2026-05-09 02:00:00,4.62 Wh,,,,22.7 Wh
2026-05-09 03:00:00,4.60 Wh,,,,23.4 Wh
2026-05-09 04:00:00,4.64 Wh,,,,29.2 Wh
2026-05-09 05:00:00,4.52 Wh,,,,29.3 Wh
2026-05-09 06:00:00,4.44 Wh,,,,34.6 Wh
2026-05-09 07:00:00,4.68 Wh,,,,41.5 Wh
2026-05-09 08:00:00,4.52 Wh,,,,41.8 Wh
2026-05-09 09:00:00,4.47 Wh,,,,42.1 Wh
2026-05-09 10:00:00,4.41 Wh,,,,41.9 Wh
2026-05-09 11:00:00,4.09 Wh,,,,42.3 Wh
2026-05-09 12:00:00,4.04 Wh,,,,42.5 Wh
2026-05-09 13:00:00,4.41 Wh,,,,76.2 Wh
2026-05-09 14:00:00,4.57 Wh,,,,149 Wh
2026-05-09 15:00:00,4.68 Wh,,,,132 Wh
2026-05-09 16:00:00,4.74 Wh,,,,137 Wh
2026-05-09 17:00:00,4.65 Wh,,,,130 Wh
2026-05-09 18:00:00,4.63 Wh,,,,111 Wh
2026-05-09 19:00:00,4.77 Wh,,,,117 Wh
2026-05-09 20:00:00,4.85 Wh,,,,118 Wh
2026-05-09 21:00:00,4.87 Wh,,,,118 Wh
2026-05-09 22:00:00,4.73 Wh,,,,118 Wh
2026-05-09 23:00:00,4.80 Wh,,,,119 Wh
2026-05-10 00:00:00,4.66 Wh,,,,111 Wh
2026-05-10 01:00:00,4.60 Wh,,,,110 Wh
2026-05-10 02:00:00,4.64 Wh,,,,107 Wh
2026-05-10 03:00:00,4.61 Wh,,,,107 Wh
2026-05-10 04:00:00,4.74 Wh,,,,101 Wh
2026-05-10 05:00:00,4.56 Wh,,,,88.3 Wh
2026-05-10 06:00:00,4.77 Wh,,,,84.0 Wh
2026-05-10 07:00:00,4.52 Wh,,,,84.6 Wh
2026-05-10 08:00:00,4.55 Wh,,,,94.3 Wh
2026-05-10 09:00:00,4.57 Wh,,,,116 Wh
2026-05-10 10:00:00,4.64 Wh,,,,115 Wh
2026-05-10 11:00:00,4.67 Wh,,,,112 Wh
2026-05-10 12:00:00,4.76 Wh,,,,107 Wh
2026-05-10 13:00:00,2.94 Wh,,,,364 Wh
2026-05-10 14:00:00,4.32 Wh,,,,117 Wh
2026-05-10 15:00:00,4.55 Wh,,,,96.8 Wh
2026-05-10 16:00:00,4.58 Wh,,,,106 Wh
2026-05-10 17:00:00,4.70 Wh,,,,103 Wh
2026-05-10 18:00:00,4.66 Wh,,,,88.0 Wh
2026-05-10 19:00:00,4.72 Wh,,,,95.6 Wh
2026-05-10 20:00:00,4.58 Wh,,,,95.7 Wh
2026-05-10 21:00:00,4.54 Wh,,,,99.4 Wh
2026-05-10 22:00:00,4.75 Wh,,,,109 Wh
2026-05-10 23:00:00,4.64 Wh,,,,109 Wh
2026-05-11 00:00:00,4.77 Wh,,,,88.2 Wh
2026-05-11 01:00:00,4.80 Wh,,,,78.8 Wh
2026-05-11 02:00:00,4.63 Wh,,,,59.2 Wh
2026-05-11 03:00:00,4.72 Wh,,,,59.1 Wh
2026-05-11 04:00:00,4.60 Wh,,,,56.4 Wh
2026-05-11 05:00:00,4.62 Wh,,,,44.3 Wh
2026-05-11 06:00:00,4.46 Wh,,,,44.7 Wh
2026-05-11 07:00:00,4.59 Wh,,,,44.7 Wh
2026-05-11 08:00:00,4.54 Wh,,,,44.5 Wh
2026-05-11 09:00:00,4.34 Wh,,,,44.4 Wh
2026-05-11 10:00:00,4.39 Wh,,,,70.7 Wh
2026-05-11 11:00:00,4.80 Wh,,,,75.1 Wh
2026-05-11 12:00:00,4.70 Wh,,,,73.5 Wh
2026-05-11 13:00:00,4.75 Wh,,,,86.7 Wh
2026-05-11 14:00:00,4.43 Wh,,,,87.2 Wh
