"Time","Panel 1","Panel 2","Panel 3"
2026-05-06 10:00:00,0 Wh,0 Wh,0 Wh
2026-05-06 11:00:00,41.3 Wh,33.9 Wh,0 Wh
2026-05-06 12:00:00,59.3 Wh,73.6 Wh,0 Wh
2026-05-06 13:00:00,58.7 Wh,95.3 Wh,0 Wh
2026-05-06 14:00:00,54.9 Wh,88.8 Wh,0 Wh
2026-05-06 15:00:00,37.8 Wh,61.2 Wh,7.42 mWh
2026-05-06 16:00:00,29.3 Wh,47.2 Wh,0 Wh
2026-05-06 17:00:00,16.3 Wh,25.7 Wh,0 Wh
2026-05-06 18:00:00,8.59 Wh,12.7 Wh,23.2 mWh
2026-05-06 19:00:00,1.90 Wh,3.64 Wh,15.1 mWh
2026-05-06 20:00:00,0 Wh,0 Wh,0 Wh
2026-05-06 21:00:00,0 Wh,0 Wh,0 Wh
2026-05-06 22:00:00,0 Wh,0 Wh,0 Wh
2026-05-06 23:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 00:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 01:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 02:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 03:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 04:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 05:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 06:00:00,240 mWh,1.04 Wh,0 Wh
2026-05-07 07:00:00,6.75 Wh,9.25 Wh,0 Wh
2026-05-07 08:00:00,11.8 Wh,18.6 Wh,0 Wh
2026-05-07 09:00:00,17.1 Wh,28.8 Wh,0 Wh
2026-05-07 10:00:00,24.7 Wh,42.5 Wh,0 Wh
2026-05-07 11:00:00,24.5 Wh,41.4 Wh,0 Wh
2026-05-07 12:00:00,23.3 Wh,39.0 Wh,0 Wh
2026-05-07 13:00:00,27.0 Wh,46.0 Wh,7.39 mWh
2026-05-07 14:00:00,27.6 Wh,46.8 Wh,0 Wh
2026-05-07 15:00:00,23.3 Wh,38.8 Wh,0 Wh
2026-05-07 16:00:00,25.6 Wh,41.8 Wh,0 Wh
2026-05-07 17:00:00,18.1 Wh,28.8 Wh,0 Wh
2026-05-07 18:00:00,10.9 Wh,16.4 Wh,0 Wh
2026-05-07 19:00:00,2.28 Wh,3.53 Wh,0 Wh
2026-05-07 20:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 21:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 22:00:00,0 Wh,0 Wh,0 Wh
2026-05-07 23:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 00:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 01:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 02:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 03:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 04:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 05:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 06:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 07:00:00,3.02 Wh,5.53 Wh,0 Wh
2026-05-08 08:00:00,8.24 Wh,11.8 Wh,0 Wh
2026-05-08 09:00:00,10.9 Wh,16.8 Wh,0 Wh
2026-05-08 10:00:00,13.1 Wh,21.0 Wh,0 Wh
2026-05-08 11:00:00,18.5 Wh,30.4 Wh,0 Wh
2026-05-08 12:00:00,21.2 Wh,35.3 Wh,0 Wh
2026-05-08 13:00:00,25.5 Wh,43.0 Wh,0 Wh
2026-05-08 14:00:00,23.8 Wh,39.7 Wh,0 Wh
2026-05-08 15:00:00,22.4 Wh,37.3 Wh,0 Wh
2026-05-08 16:00:00,21.0 Wh,34.5 Wh,0 Wh
2026-05-08 17:00:00,18.1 Wh,31.0 Wh,0 Wh
2026-05-08 18:00:00,10.2 Wh,15.3 Wh,0 Wh
2026-05-08 19:00:00,2.69 Wh,4.42 Wh,0 Wh
2026-05-08 20:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 21:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 22:00:00,0 Wh,0 Wh,0 Wh
2026-05-08 23:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 00:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 01:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 02:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 03:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 04:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 05:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 06:00:00,491 mWh,1.77 Wh,0 Wh
2026-05-09 07:00:00,6.78 Wh,9.40 Wh,0 Wh
2026-05-09 08:00:00,10.7 Wh,16.7 Wh,0 Wh
2026-05-09 09:00:00,14.9 Wh,24.0 Wh,0 Wh
2026-05-09 10:00:00,17.5 Wh,28.9 Wh,0 Wh
2026-05-09 11:00:00,21.1 Wh,35.0 Wh,0 Wh
2026-05-09 12:00:00,24.3 Wh,41.3 Wh,0 Wh
2026-05-09 13:00:00,28.3 Wh,48.3 Wh,0 Wh
2026-05-09 14:00:00,32.7 Wh,57.1 Wh,7.13 mWh
2026-05-09 15:00:00,27.3 Wh,47.6 Wh,0 Wh
2026-05-09 16:00:00,21.8 Wh,38.0 Wh,0 Wh
2026-05-09 17:00:00,15.9 Wh,26.7 Wh,0 Wh
2026-05-09 18:00:00,9.29 Wh,14.2 Wh,0 Wh
2026-05-09 19:00:00,1.92 Wh,3.65 Wh,0 Wh
2026-05-09 20:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 21:00:00,0 Wh,0 Wh,0 Wh
2026-05-09 22:00:00,0 Wh,0 Wh,8.76 mWh
2026-05-09 23:00:00,5.38 mWh,0 Wh,0 Wh
2026-05-10 00:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 01:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 02:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 03:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 04:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 05:00:00,0 Wh,0 Wh,0 Wh
2026-05-10 06:00:00,0 Wh,170 mWh,0 Wh
2026-05-10 07:00:00,4.26 Wh,7.24 Wh,0 Wh
2026-05-10 08:00:00,8.77 Wh,13.1 Wh,0 Wh
2026-05-10 09:00:00,13.6 Wh,22.2 Wh,0 Wh
2026-05-10 10:00:00,21.3 Wh,35.6 Wh,0 Wh
2026-05-10 11:00:00,26.9 Wh,46.4 Wh,0 Wh
2026-05-10 12:00:00,28.8 Wh,50.1 Wh,0 Wh
2026-05-10 13:00:00,46.1 Wh,81.3 Wh,2.80 Wh
2026-05-10 14:00:00,52.5 Wh,89.6 Wh,
2026-05-10 15:00:00,45.2 Wh,76.3 Wh,
2026-05-10 16:00:00,38.2 Wh,63.4 Wh,
2026-05-10 17:00:00,27.4 Wh,43.8 Wh,
2026-05-10 18:00:00,14.9 Wh,23.0 Wh,
2026-05-10 19:00:00,7.32 Wh,9.13 Wh,
2026-05-10 20:00:00,,,
2026-05-10 21:00:00,,,
2026-05-10 22:00:00,,,
2026-05-10 23:00:00,,,
2026-05-11 00:00:00,,,
2026-05-11 01:00:00,,,
2026-05-11 02:00:00,,,
2026-05-11 03:00:00,,,
2026-05-11 04:00:00,,,
2026-05-11 05:00:00,,,
2026-05-11 06:00:00,4.73 Wh,4.89 Wh,
2026-05-11 07:00:00,5.99 Wh,7.87 Wh,
2026-05-11 08:00:00,10.0 Wh,15.7 Wh,
2026-05-11 09:00:00,15.0 Wh,24.6 Wh,
2026-05-11 10:00:00,18.4 Wh,30.9 Wh,
2026-05-11 11:00:00,23.2 Wh,39.5 Wh,24.7 mWh
2026-05-11 12:00:00,25.7 Wh,44.4 Wh,0 Wh
2026-05-11 13:00:00,35.5 Wh,62.9 Wh,0 Wh
2026-05-11 14:00:00,30.1 Wh,52.7 Wh,0 Wh
