"Time","POB"
2026-04-14 05:00:00,28.7 V
2026-04-14 17:00:00,28.3 V
2026-04-15 05:00:00,28.2 V
2026-04-15 17:00:00,28.3 V
2026-04-16 05:00:00,28.2 V
2026-04-16 17:00:00,28.2 V
2026-04-17 05:00:00,28.2 V
2026-04-17 17:00:00,28.2 V
2026-04-18 05:00:00,28.2 V
2026-04-18 17:00:00,28.2 V
2026-04-19 05:00:00,28.3 V
2026-04-19 17:00:00,28.3 V
2026-04-20 05:00:00,28.1 V
2026-04-20 17:00:00,28.0 V
2026-04-21 05:00:00,28.0 V
2026-04-21 17:00:00,28.0 V
2026-04-22 05:00:00,28.0 V
2026-04-22 17:00:00,28.1 V
2026-04-23 05:00:00,28.1 V
2026-04-23 17:00:00,28.1 V
2026-04-24 05:00:00,28.1 V
2026-04-24 17:00:00,28.1 V
2026-04-25 05:00:00,28.0 V
2026-04-25 17:00:00,28.0 V
2026-04-26 05:00:00,27.9 V
2026-04-26 17:00:00,27.9 V
2026-04-27 05:00:00,27.9 V
2026-04-27 17:00:00,27.9 V
2026-04-28 05:00:00,27.9 V
2026-04-28 17:00:00,27.9 V
2026-04-29 05:00:00,27.8 V
2026-04-29 17:00:00,27.6 V
2026-04-30 05:00:00,27.4 V
2026-04-30 17:00:00,27.2 V
2026-05-01 05:00:00,27.0 V
2026-05-01 17:00:00,26.9 V
2026-05-02 05:00:00,26.8 V
2026-05-02 17:00:00,26.7 V
2026-05-03 05:00:00,26.5 V
2026-05-03 17:00:00,26.5 V
2026-05-04 05:00:00,26.4 V
2026-05-04 17:00:00,26.3 V
2026-05-05 05:00:00,26.1 V
2026-05-05 17:00:00,26.0 V
2026-05-06 05:00:00,25.9 V
2026-05-06 17:00:00,25.6 V
2026-05-07 05:00:00,25.3 V
