"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor"
2026-04-14 10:00:00,364 mWh,,36.0 Wh,5.04 Wh,0 Wh
2026-04-14 11:00:00,1.17 Wh,,35.9 Wh,5.08 Wh,37.9 Wh
2026-04-14 12:00:00,3.28 Wh,,25.6 Wh,4.13 Wh,68.1 Wh
2026-04-14 13:00:00,3.45 Wh,,24.9 Wh,4.06 Wh,87.3 Wh
2026-04-14 14:00:00,3.41 Wh,,24.9 Wh,4.00 Wh,114 Wh
2026-04-14 15:00:00,3.43 Wh,,24.5 Wh,4.01 Wh,129 Wh
2026-04-14 16:00:00,3.51 Wh,,25.1 Wh,4.04 Wh,126 Wh
2026-04-14 17:00:00,3.43 Wh,,24.8 Wh,3.99 Wh,126 Wh
2026-04-14 18:00:00,3.46 Wh,,24.5 Wh,3.97 Wh,126 Wh
2026-04-14 19:00:00,3.66 Wh,,25.9 Wh,3.97 Wh,129 Wh
2026-04-14 20:00:00,3.50 Wh,,25.9 Wh,3.94 Wh,129 Wh
2026-04-14 21:00:00,1.92 Wh,,25.8 Wh,3.95 Wh,44.7 Wh
2026-04-14 22:00:00,295 mWh,,25.6 Wh,3.90 Wh,0 Wh
2026-04-14 23:00:00,295 mWh,,25.5 Wh,3.93 Wh,0 Wh
2026-04-15 00:00:00,287 mWh,,25.6 Wh,3.89 Wh,0 Wh
2026-04-15 01:00:00,460 mWh,,25.3 Wh,3.93 Wh,2.17 Wh
2026-04-15 02:00:00,3.19 Wh,,26.0 Wh,3.91 Wh,41.4 Wh
2026-04-15 03:00:00,3.08 Wh,,25.6 Wh,3.95 Wh,47.6 Wh
2026-04-15 04:00:00,3.21 Wh,,25.8 Wh,3.92 Wh,42.3 Wh
2026-04-15 05:00:00,3.19 Wh,,25.5 Wh,3.95 Wh,41.2 Wh
2026-04-15 06:00:00,3.15 Wh,,25.5 Wh,3.92 Wh,40.5 Wh
2026-04-15 07:00:00,2.37 Wh,,25.2 Wh,3.96 Wh,28.0 Wh
2026-04-15 08:00:00,282 mWh,,24.5 Wh,3.92 Wh,0 Wh
2026-04-15 09:00:00,304 mWh,,24.8 Wh,3.96 Wh,335 mWh
2026-04-15 10:00:00,293 mWh,,25.0 Wh,3.94 Wh,0 Wh
2026-04-15 11:00:00,425 mWh,,25.1 Wh,3.96 Wh,1.96 Wh
2026-04-15 12:00:00,3.22 Wh,,24.4 Wh,4.02 Wh,40.2 Wh
2026-04-15 13:00:00,2.23 Wh,,24.5 Wh,3.99 Wh,26.9 Wh
2026-04-15 14:00:00,2.23 Wh,,24.5 Wh,4.03 Wh,26.2 Wh
2026-04-15 15:00:00,3.20 Wh,,24.3 Wh,3.99 Wh,36.6 Wh
2026-04-15 16:00:00,3.04 Wh,,24.8 Wh,3.99 Wh,36.8 Wh
2026-04-15 17:00:00,2.14 Wh,,24.9 Wh,4.02 Wh,25.5 Wh
2026-04-15 18:00:00,1.63 Wh,,25.2 Wh,3.97 Wh,17.7 Wh
2026-04-15 19:00:00,3.05 Wh,,26.1 Wh,4.00 Wh,35.6 Wh
2026-04-15 20:00:00,2.89 Wh,,25.8 Wh,3.96 Wh,27.3 Wh
2026-04-15 21:00:00,299 mWh,,26.4 Wh,3.97 Wh,0 Wh
2026-04-15 22:00:00,1.05 Wh,,26.1 Wh,3.96 Wh,7.52 Wh
2026-04-15 23:00:00,2.94 Wh,,25.9 Wh,3.97 Wh,25.3 Wh
2026-04-16 00:00:00,2.79 Wh,,26.1 Wh,3.98 Wh,29.1 Wh
2026-04-16 01:00:00,3.12 Wh,,25.6 Wh,3.96 Wh,46.5 Wh
2026-04-16 02:00:00,2.99 Wh,,25.5 Wh,3.97 Wh,55.1 Wh
