"Time","Panel 1","Panel 2","Panel 3"
2026-04-14 10:00:00,5.73 Wh,5.98 Wh,0 Wh
2026-04-14 11:00:00,27.8 Wh,7.33 Wh,9.40 mWh
2026-04-14 12:00:00,27.7 Wh,34.3 Wh,0 Wh
2026-04-14 13:00:00,33.3 Wh,62.6 Wh,8.10 Wh
2026-04-14 14:00:00,41.0 Wh,78.2 Wh,28.9 Wh
2026-04-14 15:00:00,38.4 Wh,87.1 Wh,36.7 Wh
2026-04-14 16:00:00,28.0 Wh,87.3 Wh,35.1 Wh
2026-04-14 17:00:00,17.0 Wh,59.7 Wh,22.4 Wh
2026-04-14 18:00:00,9.57 Wh,30.3 Wh,12.2 Wh
2026-04-14 19:00:00,6.08 Wh,8.95 Wh,1.82 Wh
2026-04-14 20:00:00,5.84 Wh,6.17 Wh,56.8 mWh
2026-04-14 21:00:00,5.87 Wh,6.16 Wh,30.6 mWh
2026-04-14 22:00:00,5.85 Wh,6.15 Wh,0 Wh
2026-04-14 23:00:00,5.86 Wh,6.14 Wh,0 Wh
2026-04-15 00:00:00,5.85 Wh,6.14 Wh,0 Wh
2026-04-15 01:00:00,5.84 Wh,6.13 Wh,0 Wh
2026-04-15 02:00:00,5.84 Wh,6.12 Wh,7.32 mWh
2026-04-15 03:00:00,5.83 Wh,6.11 Wh,15.0 mWh
2026-04-15 04:00:00,5.83 Wh,6.09 Wh,7.55 mWh
2026-04-15 05:00:00,5.81 Wh,6.09 Wh,7.25 mWh
2026-04-15 06:00:00,5.83 Wh,6.90 Wh,236 mWh
2026-04-15 07:00:00,7.57 Wh,15.6 Wh,6.13 Wh
2026-04-15 08:00:00,12.6 Wh,35.7 Wh,12.4 Wh
2026-04-15 09:00:00,17.6 Wh,54.0 Wh,18.4 Wh
2026-04-15 10:00:00,26.7 Wh,83.3 Wh,27.7 Wh
2026-04-15 11:00:00,40.6 Wh,133 Wh,42.1 Wh
2026-04-15 12:00:00,39.6 Wh,137 Wh,42.0 Wh
2026-04-15 13:00:00,32.6 Wh,107 Wh,34.2 Wh
2026-04-15 14:00:00,34.2 Wh,109 Wh,34.7 Wh
2026-04-15 15:00:00,38.5 Wh,120 Wh,38.4 Wh
2026-04-15 16:00:00,31.6 Wh,97.9 Wh,33.1 Wh
2026-04-15 17:00:00,20.1 Wh,66.5 Wh,24.3 Wh
