"Time","Motor"
2026-04-14 10:50:00,0 Wh
2026-04-14 11:00:00,0 Wh
2026-04-14 11:10:00,0 Wh
2026-04-14 11:20:00,17.3 Wh
2026-04-14 11:30:00,68.3 Wh
2026-04-14 11:40:00,71.6 Wh
2026-04-14 11:50:00,70.5 Wh
2026-04-14 12:00:00,70.0 Wh
2026-04-14 12:10:00,69.4 Wh
2026-04-14 12:20:00,66.3 Wh
2026-04-14 12:30:00,67.4 Wh
2026-04-14 12:40:00,67.1 Wh
2026-04-14 12:50:00,68.5 Wh
2026-04-14 13:00:00,68.8 Wh
2026-04-14 13:10:00,69.2 Wh
2026-04-14 13:20:00,69.9 Wh
2026-04-14 13:30:00,99.1 Wh
2026-04-14 13:40:00,108 Wh
2026-04-14 13:50:00,108 Wh
2026-04-14 14:00:00,109 Wh
2026-04-14 14:10:00,109 Wh
2026-04-14 14:20:00,110 Wh
2026-04-14 14:30:00,110 Wh
2026-04-14 14:40:00,115 Wh
2026-04-14 14:50:00,129 Wh
2026-04-14 15:00:00,129 Wh
2026-04-14 15:10:00,129 Wh
2026-04-14 15:20:00,128 Wh
2026-04-14 15:30:00,129 Wh
2026-04-14 15:40:00,129 Wh
2026-04-14 15:50:00,128 Wh
2026-04-14 16:00:00,126 Wh
2026-04-14 16:10:00,126 Wh
2026-04-14 16:20:00,126 Wh
2026-04-14 16:30:00,125 Wh
2026-04-14 16:40:00,126 Wh
2026-04-14 16:50:00,127 Wh
2026-04-14 17:00:00,128 Wh
2026-04-14 17:10:00,128 Wh
2026-04-14 17:20:00,126 Wh
2026-04-14 17:30:00,126 Wh
2026-04-14 17:40:00,126 Wh
2026-04-14 17:50:00,124 Wh
2026-04-14 18:00:00,124 Wh
2026-04-14 18:10:00,124 Wh
2026-04-14 18:20:00,126 Wh
2026-04-14 18:30:00,128 Wh
2026-04-14 18:40:00,128 Wh
2026-04-14 18:50:00,127 Wh
2026-04-14 19:00:00,127 Wh
2026-04-14 19:10:00,129 Wh
