"Time","Min","Average","Max"
2026-04-14 08:00:00,3.52 kn,3.63 kn,3.63 kn
2026-04-14 11:00:00,3.23 kn,8.52 kn,12.2 kn
2026-04-14 14:00:00,9.93 kn,12.0 kn,13.8 kn
2026-04-14 17:00:00,11.1 kn,12.6 kn,13.9 kn
2026-04-14 20:00:00,12.4 kn,13.9 kn,16.1 kn
2026-04-14 23:00:00,13.6 kn,15.3 kn,17.3 kn
2026-04-15 02:00:00,15.3 kn,16.3 kn,17.5 kn
2026-04-15 05:00:00,14.3 kn,15.6 kn,16.9 kn
2026-04-15 08:00:00,11.7 kn,14.2 kn,16.2 kn
2026-04-15 11:00:00,11.0 kn,12.9 kn,14.0 kn
2026-04-15 14:00:00,12.3 kn,14.1 kn,16.0 kn
2026-04-15 17:00:00,11.4 kn,13.8 kn,15.7 kn
2026-04-15 20:00:00,10.9 kn,13.4 kn,15.3 kn
2026-04-15 23:00:00,10.4 kn,14.8 kn,19.3 kn
2026-04-16 02:00:00,17.3 kn,18.4 kn,20.2 kn
2026-04-16 05:00:00,12.8 kn,16.2 kn,20.5 kn
2026-04-16 08:00:00,11.4 kn,13.2 kn,14.7 kn
2026-04-16 11:00:00,13.1 kn,16.4 kn,18.9 kn
2026-04-16 14:00:00,16.7 kn,18.0 kn,19.4 kn
2026-04-16 17:00:00,18.6 kn,20.8 kn,22.8 kn
2026-04-16 20:00:00,15.4 kn,19.6 kn,22.8 kn
2026-04-16 23:00:00,11.1 kn,15.3 kn,16.8 kn
2026-04-17 02:00:00,10.8 kn,11.9 kn,12.9 kn
2026-04-17 05:00:00,8.83 kn,10.8 kn,12.2 kn
2026-04-17 08:00:00,5.87 kn,7.75 kn,9.41 kn
2026-04-17 11:00:00,5.70 kn,8.43 kn,11.3 kn
2026-04-17 14:00:00,11.3 kn,13.2 kn,14.9 kn
2026-04-17 17:00:00,12.8 kn,14.0 kn,14.8 kn
2026-04-17 20:00:00,13.6 kn,14.5 kn,16.3 kn
2026-04-17 23:00:00,11.2 kn,12.4 kn,14.9 kn
2026-04-18 02:00:00,9.27 kn,10.6 kn,11.7 kn
2026-04-18 05:00:00,7.54 kn,8.81 kn,9.95 kn
2026-04-18 08:00:00,5.68 kn,7.95 kn,9.78 kn
2026-04-18 11:00:00,5.73 kn,7.24 kn,8.46 kn
2026-04-18 14:00:00,5.64 kn,6.69 kn,9.58 kn
2026-04-18 17:00:00,5.07 kn,6.57 kn,8.24 kn
2026-04-18 20:00:00,3.97 kn,5.88 kn,8.88 kn
2026-04-18 23:00:00,1.94 kn,3.77 kn,5.64 kn
2026-04-19 02:00:00,0.894 kn,3.44 kn,5.31 kn
2026-04-19 05:00:00,0.836 kn,2.75 kn,5.68 kn
2026-04-19 08:00:00,5.56 kn,6.31 kn,7.41 kn
2026-04-19 11:00:00,6.06 kn,7.54 kn,9.70 kn
2026-04-19 14:00:00,9.23 kn,10.8 kn,12.3 kn
2026-04-19 17:00:00,10.5 kn,11.4 kn,12.7 kn
2026-04-19 20:00:00,11.7 kn,13.4 kn,14.3 kn
2026-04-19 23:00:00,12.7 kn,15.0 kn,17.0 kn
2026-04-20 02:00:00,15.9 kn,18.0 kn,19.7 kn
2026-04-20 05:00:00,17.8 kn,19.9 kn,22.4 kn
2026-04-20 08:00:00,20.5 kn,22.5 kn,24.9 kn
2026-04-20 11:00:00,20.1 kn,22.2 kn,24.1 kn
2026-04-20 14:00:00,4.28 kn,14.8 kn,21.8 kn
2026-04-20 17:00:00,4.10 kn,7.61 kn,10.5 kn
2026-04-20 20:00:00,2.66 kn,5.49 kn,8.49 kn
2026-04-20 23:00:00,1.24 kn,4.92 kn,9.87 kn
2026-04-21 02:00:00,6.49 kn,8.51 kn,13.5 kn
2026-04-21 05:00:00,8.11 kn,10.5 kn,11.7 kn
2026-04-21 08:00:00,6.90 kn,8.68 kn,11.7 kn
2026-04-21 11:00:00,6.73 kn,9.95 kn,11.9 kn
2026-04-21 14:00:00,9.56 kn,11.2 kn,12.3 kn
2026-04-21 17:00:00,9.23 kn,10.9 kn,13.2 kn
2026-04-21 20:00:00,9.08 kn,10.1 kn,11.2 kn
2026-04-21 23:00:00,8.79 kn,10.5 kn,12.2 kn
2026-04-22 02:00:00,11.2 kn,13.0 kn,15.1 kn
2026-04-22 05:00:00,7.37 kn,10.7 kn,15.2 kn
2026-04-22 08:00:00,5.17 kn,6.39 kn,8.28 kn
2026-04-22 11:00:00,1.44 kn,3.85 kn,6.32 kn
2026-04-22 14:00:00,1.05 kn,2.32 kn,6.40 kn
2026-04-22 17:00:00,6.38 kn,11.6 kn,13.5 kn
2026-04-22 20:00:00,8.07 kn,9.76 kn,13.1 kn
