"Time","Panel 1","Panel 2","Panel 3"
2026-02-18 10:00:00,13.9 Wh,6.04 Wh,0 Wh
2026-02-18 11:00:00,26.3 Wh,42.0 Wh,6.94 Wh
2026-02-18 12:00:00,18.2 Wh,50.7 Wh,17.9 Wh
2026-02-18 13:00:00,21.8 Wh,57.9 Wh,22.7 Wh
2026-02-18 14:00:00,16.3 Wh,49.7 Wh,17.9 Wh
2026-02-18 15:00:00,18.4 Wh,61.8 Wh,22.7 Wh
2026-02-18 16:00:00,9.00 Wh,20.0 Wh,7.01 Wh
2026-02-18 17:00:00,5.84 Wh,7.26 Wh,24.4 mWh
2026-02-18 18:00:00,5.93 Wh,6.19 Wh,183 mWh
2026-02-18 19:00:00,5.94 Wh,6.27 Wh,0 Wh
2026-02-18 20:00:00,5.84 Wh,6.19 Wh,174 mWh
2026-02-18 21:00:00,5.70 Wh,6.19 Wh,0 Wh
2026-02-18 22:00:00,5.81 Wh,6.09 Wh,0 Wh
2026-02-18 23:00:00,5.79 Wh,6.07 Wh,14.6 mWh
2026-02-19 00:00:00,5.81 Wh,6.07 Wh,11.6 mWh
2026-02-19 01:00:00,5.79 Wh,6.09 Wh,7.28 mWh
2026-02-19 02:00:00,5.75 Wh,6.04 Wh,0 Wh
2026-02-19 03:00:00,5.78 Wh,6.07 Wh,10.4 mWh
2026-02-19 04:00:00,5.80 Wh,6.06 Wh,20.4 mWh
2026-02-19 05:00:00,5.76 Wh,6.07 Wh,0 Wh
2026-02-19 06:00:00,5.77 Wh,6.06 Wh,0 Wh
2026-02-19 07:00:00,6.05 Wh,9.71 Wh,1.51 Wh
2026-02-19 08:00:00,11.2 Wh,24.2 Wh,9.51 Wh
2026-02-19 09:00:00,9.70 Wh,32.2 Wh,13.0 Wh
2026-02-19 10:00:00,13.9 Wh,72.5 Wh,24.8 Wh
2026-02-19 11:00:00,16.2 Wh,102 Wh,31.0 Wh
2026-02-19 12:00:00,19.2 Wh,86.6 Wh,27.2 Wh
2026-02-19 13:00:00,28.5 Wh,89.9 Wh,28.9 Wh
2026-02-19 14:00:00,29.3 Wh,88.9 Wh,29.1 Wh
2026-02-19 15:00:00,20.8 Wh,59.8 Wh,20.6 Wh
2026-02-19 16:00:00,14.1 Wh,37.3 Wh,13.7 Wh
2026-02-19 17:00:00,5.85 Wh,7.09 Wh,611 mWh
2026-02-19 18:00:00,5.73 Wh,6.02 Wh,0 Wh
2026-02-19 19:00:00,5.75 Wh,6.01 Wh,11.1 mWh
2026-02-19 20:00:00,5.73 Wh,6.01 Wh,0 Wh
2026-02-19 21:00:00,5.71 Wh,6.01 Wh,0 Wh
2026-02-19 22:00:00,5.73 Wh,6.03 Wh,0 Wh
2026-02-19 23:00:00,5.75 Wh,6.02 Wh,0 Wh
2026-02-20 00:00:00,5.74 Wh,6.00 Wh,0 Wh
2026-02-20 01:00:00,5.70 Wh,5.99 Wh,4.78 mWh
2026-02-20 02:00:00,5.67 Wh,5.98 Wh,0 Wh
2026-02-20 03:00:00,5.71 Wh,5.95 Wh,0 Wh
2026-02-20 04:00:00,5.70 Wh,5.96 Wh,0 Wh
2026-02-20 05:00:00,5.66 Wh,5.96 Wh,10.4 mWh
2026-02-20 06:00:00,5.64 Wh,5.98 Wh,0 Wh
2026-02-20 07:00:00,7.59 Wh,15.2 Wh,4.94 Wh
2026-02-20 08:00:00,10.7 Wh,25.8 Wh,9.32 Wh
2026-02-20 09:00:00,16.8 Wh,51.5 Wh,18.9 Wh
2026-02-20 10:00:00,22.0 Wh,71.8 Wh,25.4 Wh
2026-02-20 11:00:00,22.6 Wh,68.9 Wh,23.2 Wh
2026-02-20 12:00:00,31.5 Wh,99.9 Wh,32.0 Wh
2026-02-20 13:00:00,18.7 Wh,57.3 Wh,19.3 Wh
2026-02-20 14:00:00,17.6 Wh,53.1 Wh,18.1 Wh
2026-02-20 15:00:00,19.0 Wh,72.3 Wh,26.6 Wh
2026-02-20 16:00:00,11.1 Wh,38.8 Wh,14.4 Wh
2026-02-20 17:00:00,6.29 Wh,12.6 Wh,4.17 Wh
2026-02-20 18:00:00,5.69 Wh,5.97 Wh,0 Wh
2026-02-20 19:00:00,5.66 Wh,5.93 Wh,0 Wh
2026-02-20 20:00:00,5.67 Wh,5.93 Wh,0 Wh
2026-02-20 21:00:00,5.65 Wh,5.93 Wh,0 Wh
2026-02-20 22:00:00,5.64 Wh,5.91 Wh,0 Wh
