"Time","Min","Average","Max"
2026-02-18 10:00:00,1.38 kn,5.12 kn,9.95 kn
2026-02-18 11:00:00,7.19 kn,9.30 kn,11.4 kn
2026-02-18 12:00:00,5.87 kn,12.1 kn,16.8 kn
2026-02-18 13:00:00,1.32 kn,4.86 kn,10.1 kn
2026-02-18 14:00:00,4.14 kn,6.88 kn,11.2 kn
2026-02-18 15:00:00,5.40 kn,9.58 kn,14.3 kn
2026-02-18 16:00:00,7.08 kn,9.15 kn,11.6 kn
2026-02-18 17:00:00,4.51 kn,7.06 kn,10.5 kn
2026-02-18 18:00:00,6.05 kn,11.2 kn,16.0 kn
2026-02-18 19:00:00,11.4 kn,13.4 kn,16.1 kn
2026-02-18 20:00:00,11.0 kn,12.6 kn,14.9 kn
2026-02-18 21:00:00,11.4 kn,12.1 kn,12.5 kn
2026-02-18 22:00:00,9.99 kn,11.4 kn,13.0 kn
2026-02-18 23:00:00,11.1 kn,13.8 kn,18.2 kn
2026-02-19 00:00:00,17.6 kn,18.2 kn,19.1 kn
2026-02-19 01:00:00,18.0 kn,19.3 kn,20.4 kn
2026-02-19 02:00:00,17.8 kn,23.1 kn,25.6 kn
2026-02-19 03:00:00,17.4 kn,19.5 kn,22.1 kn
2026-02-19 04:00:00,16.4 kn,26.7 kn,37.0 kn
2026-02-19 05:00:00,22.4 kn,25.1 kn,33.6 kn
2026-02-19 06:00:00,22.6 kn,23.9 kn,25.5 kn
2026-02-19 07:00:00,23.3 kn,27.1 kn,29.4 kn
2026-02-19 08:00:00,24.2 kn,25.9 kn,29.0 kn
2026-02-19 09:00:00,19.4 kn,23.0 kn,28.0 kn
2026-02-19 10:00:00,23.3 kn,25.1 kn,26.2 kn
2026-02-19 11:00:00,22.8 kn,24.4 kn,25.9 kn
2026-02-19 12:00:00,22.6 kn,24.5 kn,26.8 kn
2026-02-19 13:00:00,22.5 kn,24.6 kn,26.1 kn
2026-02-19 14:00:00,24.4 kn,25.6 kn,27.3 kn
2026-02-19 15:00:00,23.2 kn,24.7 kn,26.1 kn
2026-02-19 16:00:00,23.6 kn,24.4 kn,25.3 kn
2026-02-19 17:00:00,22.7 kn,23.8 kn,25.0 kn
2026-02-19 18:00:00,20.9 kn,22.8 kn,24.5 kn
2026-02-19 19:00:00,21.6 kn,23.3 kn,24.5 kn
2026-02-19 20:00:00,21.4 kn,22.7 kn,23.7 kn
2026-02-19 21:00:00,18.5 kn,20.0 kn,21.4 kn
2026-02-19 22:00:00,18.8 kn,20.1 kn,21.5 kn
2026-02-19 23:00:00,18.5 kn,19.6 kn,21.0 kn
2026-02-20 00:00:00,18.3 kn,19.0 kn,19.6 kn
2026-02-20 01:00:00,18.6 kn,19.8 kn,21.0 kn
2026-02-20 02:00:00,18.6 kn,19.5 kn,20.2 kn
2026-02-20 03:00:00,17.5 kn,18.8 kn,19.7 kn
2026-02-20 04:00:00,17.5 kn,18.1 kn,18.6 kn
