"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-03 04:00:00,-3.76 Wh,-4.52 Wh,,-5.15 Wh,0 Wh
2026-02-03 05:00:00,-4.25 Wh,-5.08 Wh,-34.7 Wh,-5.19 Wh,0 Wh
2026-02-03 06:00:00,-4.19 Wh,-4.65 Wh,,-5.21 Wh,0 Wh
2026-02-03 07:00:00,-4.01 Wh,-4.95 Wh,-34.0 Wh,-5.15 Wh,0 Wh
2026-02-03 08:00:00,-4.11 Wh,-4.45 Wh,,-5.21 Wh,0 Wh
2026-02-03 09:00:00,-4.13 Wh,-4.57 Wh,-36.1 Wh,-5.25 Wh,0 Wh
2026-02-03 10:00:00,-4.49 Wh,-4.54 Wh,-36.3 Wh,-5.36 Wh,-26.6 Wh
2026-02-03 11:00:00,-6.32 Wh,-4.48 Wh,-40.3 Wh,-5.43 Wh,-121 Wh
2026-02-03 12:00:00,-6.66 Wh,-4.55 Wh,-40.7 Wh,-5.44 Wh,-131 Wh
2026-02-03 13:00:00,-6.62 Wh,-4.54 Wh,-40.9 Wh,-5.46 Wh,-133 Wh
2026-02-03 14:00:00,-7.01 Wh,-4.53 Wh,-40.8 Wh,-5.48 Wh,-135 Wh
2026-02-03 15:00:00,-6.75 Wh,-4.49 Wh,-40.7 Wh,-5.49 Wh,-136 Wh
2026-02-03 16:00:00,-6.88 Wh,-4.52 Wh,-39.3 Wh,-5.46 Wh,-156 Wh
2026-02-03 17:00:00,-5.53 Wh,-4.55 Wh,-38.0 Wh,-5.42 Wh,-16.3 Wh
2026-02-03 18:00:00,-5.57 Wh,-4.55 Wh,-37.1 Wh,-5.41 Wh,-13.6 Wh
2026-02-03 19:00:00,-6.49 Wh,-4.55 Wh,-36.4 Wh,-5.38 Wh,-35.0 Wh
2026-02-03 20:00:00,-6.74 Wh,-4.56 Wh,-36.4 Wh,-5.39 Wh,-44.8 Wh
2026-02-03 21:00:00,-5.42 Wh,-4.54 Wh,-36.5 Wh,-5.37 Wh,-16.7 Wh
2026-02-03 22:00:00,-4.22 Wh,-4.45 Wh,-36.4 Wh,-5.34 Wh,0 Wh
