"Time","POB"
2026-03-17 05:00:00,28.7 V
2026-03-17 17:00:00,28.4 V
2026-03-18 05:00:00,28.3 V
2026-03-18 17:00:00,28.3 V
2026-03-19 05:00:00,28.2 V
2026-03-19 17:00:00,28.2 V
2026-03-20 05:00:00,28.2 V
2026-03-20 17:00:00,28.2 V
2026-03-21 05:00:00,28.1 V
2026-03-21 17:00:00,28.1 V
2026-03-22 05:00:00,28.0 V
2026-03-22 17:00:00,28.0 V
2026-03-23 05:00:00,27.9 V
2026-03-23 17:00:00,28.0 V
2026-03-24 05:00:00,27.9 V
2026-03-24 17:00:00,28.0 V
2026-03-25 05:00:00,28.0 V
2026-03-25 17:00:00,27.9 V
2026-03-26 05:00:00,27.6 V
2026-03-26 17:00:00,27.7 V
2026-03-27 05:00:00,27.6 V
2026-03-27 17:00:00,27.5 V
2026-03-28 05:00:00,27.4 V
2026-03-28 17:00:00,27.5 V
2026-03-29 05:00:00,27.4 V
2026-03-29 17:00:00,27.3 V
2026-03-30 05:00:00,27.2 V
2026-03-30 17:00:00,27.2 V
2026-03-31 05:00:00,27.0 V
2026-03-31 17:00:00,26.9 V
2026-04-01 05:00:00,26.8 V
2026-04-01 17:00:00,26.7 V
2026-04-02 05:00:00,26.6 V
2026-04-02 17:00:00,26.6 V
2026-04-03 05:00:00,26.4 V
2026-04-03 17:00:00,26.3 V
2026-04-04 05:00:00,26.2 V
2026-04-04 17:00:00,26.1 V
2026-04-05 05:00:00,26.0 V
2026-04-05 17:00:00,25.7 V
2026-04-06 05:00:00,26.1 V
