"Time","Panel 1","Panel 2","Panel 3"
2026-03-06 06:00:00,6.28 Wh,6.59 Wh,0 Wh
2026-03-06 07:00:00,6.14 Wh,6.44 Wh,19.3 mWh
2026-03-06 08:00:00,6.12 Wh,6.43 Wh,68.6 mWh
2026-03-06 09:00:00,6.12 Wh,6.44 Wh,25.2 mWh
2026-03-06 10:00:00,5.98 Wh,6.24 Wh,11.8 mWh
2026-03-06 11:00:00,29.0 Wh,21.8 Wh,0 Wh
2026-03-06 12:00:00,42.0 Wh,79.6 Wh,25.2 Wh
2026-03-06 13:00:00,40.2 Wh,116 Wh,41.7 Wh
2026-03-06 14:00:00,32.7 Wh,109 Wh,37.3 Wh
2026-03-06 15:00:00,22.9 Wh,82.1 Wh,30.1 Wh
2026-03-06 16:00:00,13.0 Wh,47.2 Wh,18.3 Wh
2026-03-06 17:00:00,6.98 Wh,16.4 Wh,6.60 Wh
2026-03-06 18:00:00,5.87 Wh,6.25 Wh,28.2 mWh
2026-03-06 19:00:00,5.85 Wh,6.14 Wh,46.4 mWh
2026-03-06 20:00:00,5.84 Wh,6.11 Wh,9.57 mWh
2026-03-06 21:00:00,5.83 Wh,6.13 Wh,6.44 mWh
2026-03-06 22:00:00,5.83 Wh,6.12 Wh,0 Wh
2026-03-06 23:00:00,5.85 Wh,6.09 Wh,0 Wh
2026-03-07 00:00:00,5.81 Wh,6.12 Wh,0 Wh
2026-03-07 01:00:00,5.82 Wh,6.10 Wh,10.0 mWh
2026-03-07 02:00:00,5.81 Wh,6.10 Wh,0 Wh
2026-03-07 03:00:00,5.82 Wh,6.10 Wh,9.42 mWh
2026-03-07 04:00:00,5.79 Wh,6.11 Wh,9.29 mWh
2026-03-07 05:00:00,5.79 Wh,6.07 Wh,14.8 mWh
2026-03-07 06:00:00,5.83 Wh,6.60 Wh,0 Wh
2026-03-07 07:00:00,7.12 Wh,19.6 Wh,5.53 Wh
2026-03-07 08:00:00,7.27 Wh,44.6 Wh,13.2 Wh
2026-03-07 09:00:00,7.06 Wh,74.9 Wh,21.9 Wh
2026-03-07 10:00:00,6.90 Wh,98.4 Wh,29.3 Wh
2026-03-07 11:00:00,7.59 Wh,120 Wh,34.9 Wh
2026-03-07 12:00:00,23.8 Wh,129 Wh,39.2 Wh
2026-03-07 13:00:00,28.5 Wh,124 Wh,37.4 Wh
2026-03-07 14:00:00,17.8 Wh,88.9 Wh,27.2 Wh
2026-03-07 15:00:00,17.1 Wh,61.4 Wh,19.4 Wh
2026-03-07 16:00:00,14.6 Wh,45.1 Wh,16.7 Wh
2026-03-07 17:00:00,6.87 Wh,12.9 Wh,5.36 Wh
2026-03-07 18:00:00,5.79 Wh,6.29 Wh,11.7 mWh
2026-03-07 19:00:00,5.80 Wh,6.09 Wh,0 Wh
2026-03-07 20:00:00,5.80 Wh,6.05 Wh,0 Wh
2026-03-07 21:00:00,5.80 Wh,6.09 Wh,20.2 mWh
2026-03-07 22:00:00,5.78 Wh,6.07 Wh,0 Wh
2026-03-07 23:00:00,5.78 Wh,6.09 Wh,0 Wh
2026-03-08 00:00:00,5.78 Wh,6.08 Wh,0 Wh
2026-03-08 01:00:00,5.76 Wh,6.08 Wh,0 Wh
2026-03-08 03:00:00,5.78 Wh,6.06 Wh,0 Wh
2026-03-08 04:00:00,5.78 Wh,6.06 Wh,0 Wh
2026-03-08 05:00:00,5.75 Wh,6.07 Wh,0 Wh
2026-03-08 06:00:00,5.75 Wh,6.03 Wh,0 Wh
2026-03-08 07:00:00,5.77 Wh,7.04 Wh,64.3 mWh
2026-03-08 08:00:00,7.95 Wh,23.8 Wh,9.10 Wh
2026-03-08 09:00:00,8.64 Wh,24.7 Wh,14.7 Wh
