"Time","Min","Average","Max"
2026-03-17 09:00:00,1.01 kn,3.24 kn,6.34 kn
2026-03-17 11:00:00,3.42 kn,5.33 kn,6.94 kn
2026-03-17 13:00:00,6.20 kn,9.20 kn,13.4 kn
2026-03-17 15:00:00,11.6 kn,12.8 kn,14.3 kn
2026-03-17 17:00:00,11.4 kn,12.8 kn,14.8 kn
2026-03-17 19:00:00,11.1 kn,13.4 kn,14.5 kn
2026-03-17 21:00:00,10.1 kn,11.7 kn,12.5 kn
2026-03-17 23:00:00,11.1 kn,12.7 kn,14.9 kn
2026-03-18 01:00:00,11.0 kn,12.1 kn,13.7 kn
2026-03-18 03:00:00,13.5 kn,14.7 kn,16.2 kn
2026-03-18 05:00:00,8.01 kn,10.2 kn,13.6 kn
2026-03-18 07:00:00,8.20 kn,9.95 kn,12.0 kn
2026-03-18 09:00:00,8.75 kn,10.6 kn,12.3 kn
2026-03-18 11:00:00,11.3 kn,14.4 kn,16.2 kn
2026-03-18 13:00:00,11.6 kn,12.9 kn,14.1 kn
2026-03-18 15:00:00,12.3 kn,13.5 kn,14.8 kn
2026-03-18 17:00:00,9.29 kn,13.1 kn,14.2 kn
2026-03-18 19:00:00,7.99 kn,10.8 kn,12.1 kn
2026-03-18 21:00:00,9.27 kn,12.0 kn,14.0 kn
2026-03-18 23:00:00,9.31 kn,12.7 kn,13.8 kn
2026-03-19 01:00:00,7.74 kn,9.99 kn,11.6 kn
2026-03-19 03:00:00,8.22 kn,9.99 kn,10.7 kn
2026-03-19 05:00:00,8.67 kn,10.6 kn,12.8 kn
2026-03-19 07:00:00,10.6 kn,11.6 kn,12.7 kn
2026-03-19 09:00:00,10.2 kn,11.1 kn,11.9 kn
2026-03-19 11:00:00,10.5 kn,11.3 kn,13.3 kn
2026-03-19 13:00:00,11.7 kn,12.9 kn,14.3 kn
2026-03-19 15:00:00,13.2 kn,14.0 kn,14.9 kn
2026-03-19 17:00:00,10.3 kn,12.8 kn,14.0 kn
2026-03-19 19:00:00,9.25 kn,12.7 kn,14.9 kn
2026-03-19 21:00:00,9.33 kn,10.9 kn,12.5 kn
2026-03-19 23:00:00,7.48 kn,9.38 kn,10.6 kn
2026-03-20 01:00:00,7.78 kn,10.4 kn,13.3 kn
2026-03-20 03:00:00,10.8 kn,12.9 kn,14.5 kn
2026-03-20 05:00:00,9.97 kn,10.9 kn,12.6 kn
