"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-06 06:50:00,-651 mWh,0 Wh,-5.80 Wh,-932 mWh,0 Wh,2.14 Wh
2026-03-06 07:00:00,-1.33 Wh,0 Wh,-11.5 Wh,-1.85 Wh,0 Wh,4.25 Wh
2026-03-06 07:10:00,-2.02 Wh,0 Wh,-17.1 Wh,-2.77 Wh,0 Wh,6.34 Wh
2026-03-06 07:20:00,-2.70 Wh,0 Wh,-22.7 Wh,-3.69 Wh,0 Wh,8.44 Wh
2026-03-06 07:30:00,-3.38 Wh,0 Wh,-28.4 Wh,-4.61 Wh,0 Wh,10.5 Wh
2026-03-06 07:40:00,-3.38 Wh,0 Wh,-28.4 Wh,-4.61 Wh,0 Wh,10.5 Wh
2026-03-06 07:50:00,-4.05 Wh,0 Wh,-28.4 Wh,-5.53 Wh,0 Wh,12.6 Wh
2026-03-06 08:00:00,-4.77 Wh,0 Wh,-33.9 Wh,-6.46 Wh,0 Wh,14.7 Wh
2026-03-06 08:10:00,-5.46 Wh,0 Wh,-39.5 Wh,-7.38 Wh,0 Wh,16.8 Wh
2026-03-06 08:20:00,-6.15 Wh,0 Wh,-45.2 Wh,-8.30 Wh,0 Wh,18.9 Wh
2026-03-06 08:30:00,-6.84 Wh,0 Wh,-50.8 Wh,-9.22 Wh,0 Wh,21.0 Wh
2026-03-06 08:40:00,-7.53 Wh,0 Wh,-56.4 Wh,-10.1 Wh,0 Wh,23.1 Wh
2026-03-06 08:50:00,-8.21 Wh,0 Wh,-62.1 Wh,-11.1 Wh,0 Wh,25.2 Wh
2026-03-06 09:00:00,-8.91 Wh,0 Wh,-67.7 Wh,-12.0 Wh,0 Wh,27.3 Wh
2026-03-06 09:10:00,-9.60 Wh,0 Wh,-73.4 Wh,-12.9 Wh,0 Wh,29.4 Wh
2026-03-06 09:20:00,-10.3 Wh,0 Wh,-79.0 Wh,-13.8 Wh,0 Wh,31.5 Wh
2026-03-06 09:30:00,-11.0 Wh,0 Wh,-84.6 Wh,-14.8 Wh,0 Wh,33.6 Wh
2026-03-06 09:40:00,-11.7 Wh,0 Wh,-90.3 Wh,-15.7 Wh,0 Wh,35.7 Wh
2026-03-06 09:50:00,-12.3 Wh,0 Wh,-95.9 Wh,-16.6 Wh,0 Wh,37.8 Wh
2026-03-06 10:00:00,-13.0 Wh,0 Wh,-102 Wh,-17.6 Wh,0 Wh,39.9 Wh
2026-03-06 10:10:00,-13.7 Wh,0 Wh,-107 Wh,-18.5 Wh,0 Wh,42.0 Wh
2026-03-06 10:20:00,-14.4 Wh,0 Wh,-113 Wh,-19.4 Wh,0 Wh,44.0 Wh
2026-03-06 10:30:00,-15.1 Wh,0 Wh,-117 Wh,-20.2 Wh,0 Wh,46.0 Wh
2026-03-06 10:40:00,-15.8 Wh,0 Wh,-117 Wh,-21.1 Wh,0 Wh,47.9 Wh
2026-03-06 10:50:00,-16.5 Wh,0 Wh,-117 Wh,-22.0 Wh,0 Wh,49.9 Wh
2026-03-06 11:00:00,-17.1 Wh,0 Wh,-123 Wh,-22.9 Wh,0 Wh,52.0 Wh
2026-03-06 11:10:00,-17.8 Wh,0 Wh,-130 Wh,-23.7 Wh,0 Wh,54.4 Wh
2026-03-06 11:20:00,-18.6 Wh,0 Wh,-136 Wh,-24.6 Wh,-6.14 Wh,59.7 Wh
2026-03-06 11:30:00,-19.7 Wh,0 Wh,-143 Wh,-25.5 Wh,-27.7 Wh,69.3 Wh
2026-03-06 11:40:00,-20.8 Wh,0 Wh,-150 Wh,-26.4 Wh,-51.7 Wh,81.7 Wh
2026-03-06 11:50:00,-21.9 Wh,0 Wh,-156 Wh,-27.3 Wh,-77.0 Wh,96.5 Wh
2026-03-06 12:00:00,-23.1 Wh,0 Wh,-162 Wh,-28.2 Wh,-103 Wh,114 Wh
2026-03-06 12:10:00,-24.2 Wh,0 Wh,-167 Wh,-29.0 Wh,-130 Wh,135 Wh
2026-03-06 12:20:00,-25.3 Wh,0 Wh,-172 Wh,-29.7 Wh,-156 Wh,159 Wh
2026-03-06 12:30:00,-26.5 Wh,0 Wh,-176 Wh,-30.4 Wh,-179 Wh,182 Wh
2026-03-06 12:40:00,-27.7 Wh,0 Wh,-181 Wh,-31.2 Wh,-213 Wh,211 Wh
2026-03-06 12:50:00,-28.8 Wh,0 Wh,-185 Wh,-31.9 Wh,-250 Wh,243 Wh
2026-03-06 13:00:00,-30.0 Wh,0 Wh,-190 Wh,-32.6 Wh,-288 Wh,275 Wh
2026-03-06 13:10:00,-31.3 Wh,0 Wh,-194 Wh,-33.3 Wh,-326 Wh,307 Wh
2026-03-06 13:20:00,-32.4 Wh,0 Wh,-199 Wh,-34.1 Wh,-359 Wh,340 Wh
2026-03-06 13:30:00,-33.6 Wh,0 Wh,-203 Wh,-34.8 Wh,-392 Wh,373 Wh
2026-03-06 13:40:00,-34.9 Wh,0 Wh,-208 Wh,-35.5 Wh,-425 Wh,407 Wh
2026-03-06 13:50:00,-36.0 Wh,0 Wh,-212 Wh,-36.2 Wh,-458 Wh,440 Wh
