"Time","Min","Average","Max"
2026-03-06 06:00:00,,,
2026-03-06 07:00:00,,,
2026-03-06 08:00:00,,,
2026-03-06 09:00:00,,,
2026-03-06 10:00:00,0.914 kn,6.86 kn,11.3 kn
2026-03-06 11:00:00,7.81 kn,11.0 kn,14.9 kn
2026-03-06 12:00:00,12.9 kn,14.0 kn,15.0 kn
2026-03-06 13:00:00,14.3 kn,15.1 kn,16.0 kn
2026-03-06 14:00:00,13.7 kn,14.1 kn,14.7 kn
2026-03-06 15:00:00,14.1 kn,14.9 kn,15.2 kn
2026-03-06 16:00:00,12.7 kn,14.8 kn,15.7 kn
2026-03-06 17:00:00,11.9 kn,12.4 kn,13.0 kn
2026-03-06 18:00:00,11.1 kn,13.0 kn,15.5 kn
2026-03-06 19:00:00,13.4 kn,14.3 kn,15.5 kn
2026-03-06 20:00:00,10.8 kn,12.3 kn,14.8 kn
2026-03-06 21:00:00,10.6 kn,11.5 kn,12.4 kn
2026-03-06 22:00:00,9.12 kn,9.91 kn,10.6 kn
2026-03-06 23:00:00,10.0 kn,12.0 kn,14.0 kn
2026-03-07 00:00:00,12.0 kn,13.1 kn,14.1 kn
2026-03-07 01:00:00,10.9 kn,12.4 kn,13.4 kn
2026-03-07 02:00:00,7.64 kn,10.4 kn,13.8 kn
2026-03-07 03:00:00,5.81 kn,8.68 kn,13.8 kn
2026-03-07 04:00:00,4.33 kn,5.34 kn,6.86 kn
2026-03-07 05:00:00,6.53 kn,8.26 kn,12.3 kn
2026-03-07 06:00:00,9.47 kn,11.2 kn,12.5 kn
2026-03-07 07:00:00,6.51 kn,8.59 kn,11.3 kn
2026-03-07 08:00:00,5.42 kn,7.57 kn,9.86 kn
2026-03-07 09:00:00,2.49 kn,4.11 kn,6.10 kn
2026-03-07 10:00:00,5.62 kn,8.62 kn,10.5 kn
2026-03-07 11:00:00,6.16 kn,6.99 kn,8.49 kn
2026-03-07 12:00:00,7.43 kn,9.25 kn,12.1 kn
2026-03-07 13:00:00,8.69 kn,10.3 kn,12.3 kn
2026-03-07 14:00:00,7.15 kn,8.67 kn,10.0 kn
2026-03-07 15:00:00,7.72 kn,9.19 kn,10.3 kn
2026-03-07 16:00:00,7.48 kn,8.46 kn,9.70 kn
2026-03-07 17:00:00,7.19 kn,10.3 kn,11.5 kn
2026-03-07 18:00:00,8.11 kn,9.47 kn,11.4 kn
